id,type,text1,text2,text3,notes
rr_saga,SHIP,"An unusual Light Cruiser, the Saga proves difficult to fit into a fleet. Lacking in the flux capacity to operate energy weapons for any reasonable amount of time, the Saga is most commonly seen deployed as a fire support platform, but some of the more reckless commanders will try outfitting it with close range weaponry.",,,
rr_phaeton_eq,SHIP,"A terrifying pirate creation, what was once a Phaeton is now a flying weapons platform. The Heavy ""Itano"" missile system bolted onto the front of the ship gives it firepower far above any other vessel in its weight class.

The best bet when facing this vessel is to have a heavy PD screen and move in between missile volleys, as it lacks the flux capacity to handle taking fire and using its weapons at the same time.",,,
rr_lily,SHIP,"The Lily is a lighter counterpart to the Gryphon, with the core intent of being able to sustain a missile barrage, over a prolonged battle.

The hull-integrated missile nanoforge mounted in the Lily differs from the one installed in the Gryphon in that it requires a smaller quantity of feedstock allowing for multiple uses, but in exchange the missiles produced are of notably inferior quality. But despite the obvious disadvantages of inferior warhead quality the Lily can nonetheless deliver a rather impressive barrage that can be repeated if given the chance to replenish its missile stocks.",,,
rr_vexilla,SHIP,"Derived from the Centurion hull the Vexilla is an aggressive missile strike vessel, sacrificing some of its defensive capabilities in order to deploy a heavy load of missile firepower on a comparatively light frame.

Damper Field subsystems remain to some extent, but are routed alongside an engine injector that allows for brief bursts of notably improved mobility.",,,
rr_undertaking,SHIP,"Based on the core hull of the Venture, the Undertaking is an attempt to improve upon its combat capabilities while retaining the same logistical value of the original hull.

A notable increase in armament over the Venture makes this vessel far more of a threat in combat, but it still relies on the same flux core, which can lead to energy issues if trying to operate heavier weapon loads. The relocation and downsizing of the drone bay has also led to the use of borer drones rather than Mining Pods.",,,
rr_undertaking_lp,SHIP,"Fanatics of the Luddic Path have made this ship their own, stripping out all unnecessary trimmings and transforming it into a haphazard vehicle of holy war.

As well as the almost traditional modifications to vessels performed by the Path this ship has seen some less standard changes, conversion of all mounts to fit ballistic weaponry and the addition of a ""Wrath of Ludd"" missile in place of the drone bay, this weapon is hideously destructive if the ship can remain functional long enough to bring it to bear on an unshielded target.",,,
rr_scric,SHIP,"A missile support ship designed to complement the Shrike, able to bring a very respectable amount of firepower to bear on targets, but lacking in direct front facing firepower, but when deployed alongside a Shrike the two ships are able to work well as a paired team.",,,
rr_foreman,SHIP,The Foreman is an Enforcer than has been heavily modified to enable it to actively support mining operations while also retaining most of its combat potential. This allows it to pull double-duty and also deter attacks by pirates and other opportunists.,,,
rr_lout,SHIP,"The Lout started life as a Gremlin but removal of the phase coil and general structural reinforcement has ended up in its current state, lacking the strike potential of a phase ship, and with abysmal survivability despite structural reinforcements it is truly a ship for the desperate and down on their luck. Reduced strain on the flux core has allowed for an integrated mining laser to be installed alongside a low quality shield emitter, but even with these additions it proves tremendously fragile and vulnerable to near enough any other ship it could face.",,,
rr_conslaught,SHIP,"A unique vessel derived from the same source as as the Onquest, the Conslaught has been designed to function as a direct front-facing combat vessel rather than a broadsider.

While the Conquest-class battlecruiser may be the embodiment of concentrated firepower, the Conslaught is an embodiement of make-do and mend. To put simply, this vessel originates from taking a crippled Onslaught and Conquest, and merging them together. The result is suprisingly spaceworthy and can actually prove superior to the sum of its parts with the right captain at the helm.

The altered design of this vessel over the Onquest means that it is able to bring the majority of its weapons to bear on a single target, thanks to the conversion of some of the side facing turrets to allow them to install missile weaponry, this combined barrage of fire that can be focused on a single target is not to be underestimated.",,,
rr_scut,SHIP,"An attempt made by pirates to bring a crippled Colossus back into action resulted in the Scut, a gun barge of questionable effectiveness.

The answer to what happens when a Colossus Mk.III gets destroyed enough times is that a Scut is born, condensing the remaining scraps of structure into something resembling a functional ship, pirates have been able to produce a somewhat threatening weapons platform. The parts used are sourced from across various derelict vessels and scrapyards, as such the ship is unwieldy and awkward but proves effective at engaging less well defended targets, such as freighters.",,,
,,,,,
rr_arpo,WEAPON,"Pirates cut-down a Harpoon missile reducing speed and damage, but easing the logistical demands of mounting it.",Close Support,,
rr_arpopod,WEAPON,"A pod of cut down Harpoons, carries a large supply of missiles, but due to a faulty autoloader only fires in bursts of 3.",Close Support,,
rr_mini_mblast,WEAPON,"Downscaled Mining Blaster, intended for blowing chunks off of smaller asteroids, capable of dealing respectable damage to the hull of any ship within its rather limited range.",Assault,,
rr_flint_coil,WEAPON,"A somewhat successful attempt by pirates to replicate the railgun, inferior in basically all regards, but has surprising impact force on targets due to the lower quality materials used in the munitions.",Close Support,,
rr_flint_coil_f,WEAPON,"Fighter variant of the Flint Coilgun. Fires slightly lighter projectiles but has had its charging coils overclocked, fighter flux systems can't handle sustained fire and it proves hellish on maintenance, but nonetheless it proves rather effective.",Close Support,,
rr_creeper,WEAPON,"Pirate modification of the Reaper, a crude guidance package has been installed and loads a cluster of simple explosive bomblets in place of the nuclear warhead. Cheaper, but notably less effective.",Torpedo,,
rr_c_typhoon,WEAPON,"Pod that fires pairs of Creeper torpedoes, while theoretically it offers some advantages over a Reaper pod, it suffers against heavy armour and point defense alike.",Torpedo,,
rr_gyro,WEAPON,"Short range anti-fighter missile system. While it lacks stopping power, the lightweight munitions are constantly fed by an autoloader.

Fires a near constant stream of micromissiles, the fiendishly effective tracking algorithm and maneuvering thruster setup they employ is second to none, unfortunately this came at a cost to both warhead size and missile durability. With its rather poor ability to actually score mission kills against strikecraft the only reason this system actually sees deployment is that the missiles are small enough to be fed through an autoloader at a combat viable pace.",Point Defense,,
rr_quagmire,WEAPON,"Fires bursts of specialised proximity fused disruption shells, primarily intended for point defense, but also decently effective against shields and capable of disabling vulnerable components.",Point Defense,,
rr_quagmire_f,WEAPON,"Fires bursts of specialised proximity fused disruption shells, primarily intended for point defense, but also decently effective against shields and capable of disabling vulnerable components.",Point Defense,,
rr_d-tpc,WEAPON,"A Thermal Pulse Cannon that has suffered damage to its focusing array, fires spreads of weaker projectiles.

Despite the damage sustained this weapon is marginally more effective against shielded targets and features slightly superior sustained firepower than a standard Thermal Pulse Cannon, but the individually weaker shots mean it is less capable of punching through armour.",,,
rr_bearing,WEAPON,"Little more than a microthruster strapped to a solid rod of reasonably dense metal. Provides light kinetic pressure, but little else.",,,
rr_axle,WEAPON,"While manufacturer information and advertisments insist that these are torpedoes, in reality they are far closer to being heavy rockets in terms of damage output. Regardless they prove to be a decently effective anti-armour strike weapon with a respectable ammo reserve.",,,
rr_axle_f,WEAPON,A compact version of the standard Axle rack for fighter usage that only carries a pair of Torpedoes.,,,
rr_lightneedler_c,WEAPON,"Cut down version of the Light Needler, has degraded overall performance but is compact enough to be mounted in the frame of a fighter craft.",,,
rr_arpo_f,WEAPON,"A pair of Arpo missiles, mounted for use on a modified Piranha Bomber.",,,
rr_conc_gyro_array,WEAPON,"Three Gyro Micromissile launchers bolted directly to the hull. Nothing fancy, just three times the firepower of a single standard launcher.",,,
rr_newt,WEAPON,"Compact variant of the Salamander MRM fitted for fighter mounting, while featuring a lighter warhead it remains effective at disabling the engines of hostile vessels.",,,
rr_wrath,WEAPON,"This Pather ""innovation"" is a tank of antimatter fuel with a cluster of engines strapped to it. Tremendously destructive, if its limited tracking capability proves sufficient to allow it to hit its target.",Torpedo,,
rr_miser_coil,WEAPON,"The Miser is the end result of a pirate weapons development program. The use of lower quality round materials results in impressive spalling on impact, albeit at a sacrifice of flux efficiency.",,,
,,,,,
rr_coolfeed,SHIP_SYSTEM,Activates a secondary pre-cooling system for ballistic weaponry that reduces the flux expenditure of firing such weapons. This cooling also increases the efficiency of the weapons loading systems by a small but noticeable amount.,Offensive,Activates a secondary pre-cooling system for ballistic weaponry that reduces the flux expenditure of firing such weapons. This cooling also increases the efficiency of the weapons loading systems by a small but noticeable amount.,
rr_drone_scope,SHIP_SYSTEM,Deploys a drone whose on-board sensors improve the ship's weapon and sensor range. The drone is also armed with a PD Laser.,Drones (midline),Deploys a drone whose on-board sensors improve the ship's weapon and sensor range. The drone is also armed with a PD Laser.,
rr_hyperdisplacer,SHIP_SYSTEM,"Teleports the ship forward a sizable distance in the direction it's traveling. Unlike a standard Skimmer doesn't store charges, but has a faster recharge in exchange for requiring a minor flux cost to activate.",Movement,"Teleports the ship forward a sizable distance in the direction it's traveling. Unlike a standard Skimmer doesn't store charges, but has a faster recharge in exchange for requiring a minor flux cost to activate.",
rr_barriershield,SHIP_SYSTEM,"Reduces the damage taken by shields significantly, but generates hard flux and reduces engine power while active.",Defensive,"Reduces the damage taken by shields significantly, but generates hard flux and reduces engine power while active.",
rr_damper,SHIP_SYSTEM,Briefly activates an energy field that mitigates incoming damage at the cost of disabling weapons and shields. Only stores a single charge.,Defensive,Briefly activates an energy field that mitigates incoming damage at the cost of disabling weapons and shields. Only stores a single charge.,
rr_pd_platforms,SHIP_SYSTEM,Deploys a pair of heavy defensive drone platforms armed with point defense weaponry and active flare launchers. Due to the size of the drones and limited autofactory capacity the replacement rate for any lost platforms is extremely slow.,Drones (high tech),Deploys a pair of Heavy PD drone platforms.,
rr_itano_array,SHIP_SYSTEM,Shuts down weapons to engage the internal micromissile launcher that fires a stream of assorted lightweight missiles.,Offensive,Shuts down weapons to engage the internal micromissile launcher that fires a stream of assorted lightweight missiles.,
rr_flare_stream,SHIP_SYSTEM,Launches an extended burst of flares that confuse the guidance systems of nearby enemy missiles.,Defensive,Launches flares that confuse the guidance systems of nearby enemy missiles.,
rr_heavy_itano_array,SHIP_SYSTEM,Shuts down weapons to engage the integrated missile launcher that fires a devastating stream of assorted missiles.,Offensive,Shuts down weapons to engage the integrated missile launcher that fires a devastating stream of assorted missiles.,
rr_autoforge_lily,SHIP_SYSTEM,"A fixed architecture nanforge system which allows rapid conversion of pre-formulated feedstock into missile ammunition during battle. The flux output of this process is significant so it is not advisable to engage the integrated missile nanoforge system while taking fire. This variant of the system can be used multiple times in combat, but produces less potent warheads than a standard Autoforge.",Special,Replenishes missile ammunition when used. Generates flux when used.,
rr_faithmissileracks,SHIP_SYSTEM,"With a prayer and a lot of backbreaking labour, the crew rapidly prepare another Wrath of Ludd. The crew diverting their attention to prayer from their normal tasks causes a minor loss of control and a buildup of flux.",Offensive,"With a prayer and a lot of backbreaking labour, the crew rapidly prepare another Wrath of Ludd. The crew diverting their attention to prayer from their normal tasks causes a minor loss of control and a buildup of flux.",
rr_cyclemissilefeed,SHIP_SYSTEM,Reloads all missile weapons quickly. Generates flux when used. Does not store charges and only has a single regenerating use.,Offensive,Reloads all missile weapons quickly. Generates flux when used. Does not store charges and only has a single regenerating use.,
rr_burstjets,SHIP_SYSTEM,"Diverts power from shields to engage extra thrusters that improve the ship's maneuverability and top speed. A weak energy field is also projected that reduces ballistic and energy weapon damage dealt, and all damage taken.",Movement,"Provides a brief boost to maneuverability and top speed, along with a low-grade damper effect.",
,,,,,
