id,trigger,conditions,script,text,options,notes
asmStationInteractDeadTTLooted,OpenInteractionDialog,"$tag:asm_circumfix_station
$global.circumfix_station_is_dead_tt",ShowImageVisual asm_circumfix_wreck,"You fleet returns to the location of the abandoned military outpost. A twisted mass of wreckage barely held together by its own gravity outlines the skeleton of a once mighty fortress.

Another fleet has been here since you last visited this location. A thinning debris field surrounding the station wreckage displays the signs of a recent battle, and the shattered fragments of an Astral-class supercarrier are still pinging on scanners. However, both the station and the surrounding debris field have been picked clean of anything of value. There is nothing left for you here.",defaultLeave:Leave,
asmStationInteractAssessSel,DialogOptionSelected,"$option == asmStationInteractAssess
!$global.circumfix_station_is_assessed",$global.circumfix_station_is_assessed = true,"""I don't like the look of these broken ship gantries,"" says the ops chief, pointing at a holographic display of the station. ""Seems like there was quite the fleet docked here once upon a time, and they all tried to get away in a hurry, with zero regard for safe undocking procedures. That's what I'd call a clue. As for the station itself, scans are showing the whole structure was hollowed out by... something. There's an intact section, here. But if whatever caused this mess is still inside that pocket, I'm not sure it's a good idea to open it up.""

A vast internal docking bay is highlighted on the station hologram, uniquely undisturbed and tantalizingly close. You could make a grab for it yourself, but such a find may also be of great interest to Tri-Tachyon Special Acquisitions on Eochu Bres, assuming you can gain access to their director.

The normally unflappable ops chief turns to you with a look of concern. ""It's your call, captain. Shall we go in for a look?""","asmStationInteractSalvage:Deploy the salvage teams
asmStationInteractDestroy:Destroy the station and sift through the remains
defaultLeave:Leave",
asmStationInteractDestroySel,DialogOptionSelected,$option == asmStationInteractDestroy,"$global.circumfix_station_is_dead = true
AddRemoveAnyItem WEAPONS asm_fermion_decoupler 2
AddRemoveAnyItem WEAPONS asm_flechette 2
AddRemoveAnyItem WEAPONS asm_voltaic_multipulser 1
AddRemoveAnyItem WEAPONS orr_tac_deco 1","The crew is surprised by your order, but is quick to obey it. Soon, you are watching plumes of plasma and molten steel dance across your holographic display. Several secondary explosions rock the station, completing the demolition.

The salvage teams are grateful for your decision, and if they are disappointed in their meager finds, they hide it well. Several weapons of unknown provenance are found among the wreckage, the most notable of which being embedded inside the almost fully intact forward section of a heavily modified Onslaught-class battleship. The built-in energy weapons are extracted with great care, and now await installation on a compatible battleship.

Whatever other secrets the station may have held are well and truly lost. But you remain alive, and so does your crew.",defaultLeave:Leave,
asmStationInteractSalvageSel,DialogOptionSelected,$option == asmStationInteractSalvage,"$global.circumfix_station_is_opened = true
ShowImageVisual salvor_explore_hull","Your ops chief begins to monitor several displays at once as the teams make their way inside the hangar. A wealth of scanned data is passed to your flagship. Soon an enterprising salvor even manages to activate an old backup generator and turn on the lights. There, on a grainy camera feed, you spot the unmistakable outline of a Legion-class battlecarrier. 

But something is wrong with the ship. The hull is twisted and strange, covered in a thick layer of machinery resembling cancerous growths. And then the growths begin to move.",asmStationInteractSalvage1:Continue,
asmStationInteractSalvage1Sel,DialogOptionSelected,$option == asmStationInteractSalvage1,"AddAbility asm_lure_fleet
ActivateAbility $player.fleetId asm_lure_fleet
UpdateMemory","""Get out of there!"" Your ops chief barks. ""Drop everything and get back to the shuttle, right now!""

Even as the order is obeyed, every camera feed is blinded by a brilliant flash. An arc of voltaic lightning tears through the hangar, causing a cloud of smaller automatons to leap off the Legion and towards the glowing gash in the hull. They feast upon rivulets of molten metal, while their bodies begin to twist and grow.

The footage is cut short as the salvors make a hasty escape, their shuttle returning in record time. While your fleet moves to a safer distance, you watch the station tear itself apart like an overripe melon, spilling forth a throng of murderous machines.",defaultLeave:Prepare for battle,
,,,,,,
# TT Special Acquisitions,,,,,,
ZGRstartPitchEndRequestFuel2,DialogOptionSelected,$option == zgr_pitchRequestFuel,"$global.vice_give_tt_banteng = true
AdjustRepActivePerson 1
AddTextSmall ""Received Banteng (TT) long-haul freighter"" good
SetTextHighlights ""Received Banteng (TT) long-haul freighter""
AddCommodity fuel 800
$gotFuel = true 0
FireAll ZGRdealWrapOpts","""Can't have you stranded with a hold full of treasure, can we."" She speaks without turning, although you detect a facsimile of amusement in her voice. You're gouging her, but she stands to make so much money, she simply does not care.

An incoming message from your surprised ops chief informs you that a fuel laden Tri-Tachyon freighter has just offered to join your fleet.",,
ZGRstartPitchEndRequestSup2,DialogOptionSelected,$option == zgr_pitchRequestSupplies,"$global.vice_give_tt_banteng = true
AdjustRepActivePerson 1
AddTextSmall ""Received Banteng (TT) long-haul freighter"" good
SetTextHighlights ""Received Banteng (TT) long-haul freighter""
AddCommodity supplies 800
$gotSupplies = true 0
FireAll ZGRdealWrapOpts","""Can't let you starve on the road to glory, can we."" She speaks without turning, although you detect a facsimile of amusement in her voice. You're gouging her, but she stands to make so much money, she simply does not care.

An incoming message from your surprised ops chief informs you that a Tri-Tachyon freighter loaded with supplies has just offered to join your fleet.",,
ZGRaskQuestionsThreatInfected,PopulateOptions,"$id == glamor_rotanev score:1000
$player.encounteredThreat
$global.circumfix_station_is_opened
!$global.circumfix_asked_about_threat
!$global.circumfix_threat_question_resolved",,,"zgr_askAboutInfected:""I discovered an abandoned Domain military outpost crawling with Threat infected ships.""",
ZGRaskQuestionsThreatInfectedRepeat,PopulateOptions,"$id == glamor_rotanev score:1000
$player.encounteredThreat
$global.circumfix_station_is_opened
$global.circumfix_asked_about_threat
!$global.circumfix_threat_question_resolved",,,"zgr_askAboutInfectedRepeat:""Let us discuss the matter of Threat infected warships.""",
zgr_askAboutInfectedSel,DialogOptionSelected,$option == zgr_askAboutInfected,,"""Have you now?"" Director Glamor-Rotanev regards you with eerie calm, blinking once for effect.

""Care to share your findings?""","zgr_askAboutInfectedTransmit:Transmit scans of the infected ships.
zgr_askAboutInfectedDecline:""No.""",
zgr_askAboutInfectedRepeatSel,DialogOptionSelected,$option == zgr_askAboutInfectedRepeat,,"""Well?"" She asks, her expression unchanged. ""Care to share your findings?""","zgr_askAboutInfectedTransmit:Transmit scans of the infected ships.
zgr_askAboutInfectedDecline:""No.""",
zgr_askAboutInfectedDeclineSel,DialogOptionSelected,$option == zgr_askAboutInfectedDecline,$global.circumfix_asked_about_threat = true,"""Then you are wasting my time,"" Glamor-Rotanev says curtly. ""Call me again when you have something more substantial to offer.""

Before you can say another word, the line goes dead.",cutCommLink:Cut the comm link,
zgr_askAboutInfectedTransmitSel,DialogOptionSelected,$option == zgr_askAboutInfectedTransmit,AddCredits 250000,"""Interesting,"" says the Director, blinking several times in rapid succession as you send the combat footage and debris scans involving the mysterious warships. ""No questions this time?""

Your console chimes with the notice of a large credit deposit into your personal account. Glamor-Rotanev has paid you a handsome sum for the data, without being prompted.","zgr_askAboutInfectedExplain:""Since you brought it up, what are they?""
zgr_askAboutInfectedDontCare:""No questions. My fleet can kill them just fine.""",
zgr_askAboutInfectedDontCareSel,DialogOptionSelected,$option == zgr_askAboutInfectedDontCare,$global.circumfix_threat_question_resolved = true,"""Then I have work to do. Contact me again when you have more technology samples for study.""","zgr_askAboutInfectedAISalvaged:""I salvaged several corrupted AI cores as well. Are they worth anything to you?""
cutCommLink:Cut the comm link",
zgr_askAboutInfectedAISalvagedSel,DialogOptionSelected,$option == zgr_askAboutInfectedAISalvaged,,"""Yes, one of each type will suffice. You will be paid half a million credits.""","zgr_askAboutInfectedAIWeaponize:""Does Tri-Tachyon plan to weaponize this technology?""",
zgr_askAboutInfectedExplainSel,DialogOptionSelected,$option == zgr_askAboutInfectedExplain,$global.circumfix_threat_question_resolved = true,"""That is an annoyingly vague question,"" she says, although her tone does not sound more annoyed than usual.

""To summarize, you uncovered early Expansion-Era Domain Armada warships that have been retrofitted with Explorarium automation suites, along with additional changes that have altered the hulls to be ideal breeding grounds for Threat fragments. The latter revisions are crude, but interesting.""","zgr_askAboutInfectedExplain2:""Revisions? So the Threat do not normally infect starships?""",
zgr_askAboutInfectedExplain2Sel,DialogOptionSelected,$option == zgr_askAboutInfectedExplain2,,"""No.""","zgr_askAboutInfectedExplain3:""Elaborate.""",
zgr_askAboutInfectedExplain3Sel,DialogOptionSelected,$option == zgr_askAboutInfectedExplain3,,"Glamor-Rotanev's eyes blink rapidly again. She does not appear to be looking at you.

""The Threat are devourers, not infectants. They do not hijack a host body during standard operations, but rather seek to break it down for raw materials to use in their self replication process. The parasitism you witnessed requires extensive and deliberate engineering efforts to achieve. Furthermore, while the Threat have exhibited a limited capacity for incorporating foreign technology, what passes for design patters among their kind bear no resemblance to the retrofitting present on these so called infected ships.""

Her lips form a thin smile. She has given you the information. It is your responsibility to make sense of it.","zgr_askAboutInfectedExplain4:""So if this is not a 'natural' result of Threat exposure, who did this?""",
zgr_askAboutInfectedExplain4Sel,DialogOptionSelected,$option == zgr_askAboutInfectedExplain4,,"""Based on the logistics requirements for such a project, and on the scale of infected swarms you have encountered, my working hypothesis is the 6th Domain Battlegroup, or at least an element of it. Relevant archival data may resolve this one way or the other.""

She pauses for just a moment.

""And before you ask. No, I have no idea for what purpose.""","zgr_askAboutInfectedExplain5:""The ships I encountered were commanded by corrupted AI cores.""",
zgr_askAboutInfectedExplain5Sel,DialogOptionSelected,$option == zgr_askAboutInfectedExplain5,,"""That is not a question.""

Her eyes narrow, then relax. An oddly artificial gesture.

""Very well. I will speculate. As with their ships, the cores were likewise re-engineered specifically as Threat hosts. While they appear to marginally improve ship performance during skirmish level encounters, their increased processing power compared to the base strain has not led to the emergence of any novel behaviors worthy of note.""

There is another pause.

""I will take a sampling of the different core types. One each will suffice, for half a million credits total.""","zgr_askAboutInfectedAIWeaponize:""Does Tri-Tachyon plan to weaponize this technology?""",
zgr_askAboutInfectedAIWeaponizeSel,DialogOptionSelected,"$option == zgr_askAboutInfectedAIWeaponize
PlayerHasCargo asm_relic_delta
PlayerHasCargo asm_relic_gamma
PlayerHasCargo asm_relic_beta",,"""Obviously,"" she says with a hint of derision.","zgr_askAboutInfectedAIGive:""Here you go.""
zgr_askAboutInfectedAIMaybe:""I'll think about it.""
zgr_askAboutInfectedAITurnDown:""Then no.""",
zgr_askAboutInfectedAIDontHaveDSel,DialogOptionSelected,"$option == zgr_askAboutInfectedAIWeaponize
!PlayerHasCargo asm_relic_delta",,"""Obviously,"" she says with a hint of derision.","zgr_askAboutInfectedAIDontHave:""I don't have the cores with me right now.""
zgr_askAboutInfectedAIMaybe:""I'll think about it.""
zgr_askAboutInfectedAITurnDown:""Then no.""",
zgr_askAboutInfectedAIDontHaveGSel,DialogOptionSelected,"$option == zgr_askAboutInfectedAIWeaponize
!PlayerHasCargo asm_relic_gamma",,"""Obviously,"" she says with a hint of derision.","zgr_askAboutInfectedAIDontHave:""I don't have the cores with me right now.""
zgr_askAboutInfectedAIMaybe:""I'll think about it.""
zgr_askAboutInfectedAITurnDown:""Then no.""",
zgr_askAboutInfectedAIDontHaveBSel,DialogOptionSelected,"$option == zgr_askAboutInfectedAIWeaponize
!PlayerHasCargo asm_relic_beta",,"""Obviously,"" she says with a hint of derision.","zgr_askAboutInfectedAIDontHave:""I don't have the cores with me right now.""
zgr_askAboutInfectedAIMaybe:""I'll think about it.""
zgr_askAboutInfectedAITurnDown:""Then no.""",
zgr_askAboutInfectedAIDontHaveSel,DialogOptionSelected,$option == zgr_askAboutInfectedAIDontHave,"$global.circumfix_threat_question_resolved = true
$global.circumfix_threat_AI_offered = true","""Speak to me again when you do,"" she says.

Your screen flickers, and her face is replaced by a spinning Tri-Tachyon logo.",cutCommLink:Cut the comm link,
zgr_askAboutInfectedAISale,PopulateOptions,"$id == glamor_rotanev score:1000
$global.circumfix_threat_AI_offered
!$global.circumfix_threat_AI_resolved
PlayerHasCargo asm_relic_delta
PlayerHasCargo asm_relic_gamma
PlayerHasCargo asm_relic_beta",,,"zgr_askAboutInfectedAIGive:""I have the infected cores you were after.""",
zgr_askAboutInfectedAITurnDownSel,DialogOptionSelected,$option == zgr_askAboutInfectedAITurnDown,"$global.circumfix_threat_question_resolved = true
$global.circumfix_threat_AI_resolved = true","""Very well. We have nothing more to discuss.""

Your screen flickers, and her face is replaced by a spinning Tri-Tachyon logo.",cutCommLink:Cut the comm link,
zgr_askAboutInfectedAIMaybeSel,DialogOptionSelected,$option == zgr_askAboutInfectedAIMaybe,"$global.circumfix_threat_question_resolved = true
$global.circumfix_threat_AI_offered = true","""Speak to me again when you're done thinking,"" she says.

Your screen flickers, and her face is replaced by a spinning Tri-Tachyon logo.",cutCommLink:Cut the comm link,
zgr_askAboutInfectedAIGiveSel,DialogOptionSelected,"$option == zgr_askAboutInfectedAIGive
PlayerHasCargo asm_relic_delta
PlayerHasCargo asm_relic_gamma
PlayerHasCargo asm_relic_beta
!$global.ix_battlegroup_is_active
!$global.trinity_worlds_is_active","$global.circumfix_threat_question_resolved = true
$global.circumfix_threat_AI_resolved = true
$global.circumfix_threat_gave_tech_tt = true
RemoveCommodity asm_relic_delta 1
RemoveCommodity asm_relic_gamma 1
RemoveCommodity asm_relic_beta 1
AddCredits 500000
AdjustRepActivePerson 5","You enter a command to package the cores for secure delivery. 

""Thank you, captain,"" Glamor-Rotanev says, not sounding particularly thankful. ""My presence is needed to analyze these samples in detail.""

Your screen flickers, and her face is replaced by a spinning Tri-Tachyon logo. Beneath it is a notification of a large credit transfer to your personal account.",cutCommLink:Cut the comm link,
zgr_askAboutInfectedStationOffer,PopulateOptions,"$id == glamor_rotanev score:1000
$player.encounteredThreat
$global.circumfix_station_is_assessed
!$global.circumfix_station_is_opened
!$global.circumfix_station_is_dead
!$global.circumfix_station_is_dead_tt
!$global.circumfix_station_offered_tt",,,"zgr_askAboutInfectedStation:""I found an old Domain Armada starbase gutted by Threat fragments, mostly.""",
zgr_askAboutInfectedStationOfferNoThreat,PopulateOptions,"$id == glamor_rotanev score:1000
!$player.encounteredThreat
$global.circumfix_station_is_assessed
!$global.circumfix_station_is_opened
!$global.circumfix_station_is_dead
!$global.circumfix_station_is_dead_tt
!$global.circumfix_station_offered_tt",,,"zgr_askAboutInfectedStation:""I found an old Domain Armada starbase gutted by replicator drones, mostly.""",
zgr_askAboutInfectedStationOfferRepeat,PopulateOptions,"$id == glamor_rotanev score:1000
$global.circumfix_station_offered_tt
!$global.circumfix_station_is_opened
!$global.circumfix_station_is_dead
!$global.circumfix_station_is_dead_tt",,,"zgr_askAboutInfectedStationSell:""I'm ready to sell the location of the starbase we discussed earlier.""",
zgr_askAboutInfectedStationSel,DialogOptionSelected,$option == zgr_askAboutInfectedStation,,"""Mostly?"" Director Glamor-Rotanev regards you with eerie calm, blinking once for effect.

""Go on.""","zgr_askAboutInfectedStation2:""A main hangar large enough to house a squadron of warships remains unopened.""",
zgr_askAboutInfectedStation2Sel,DialogOptionSelected,$option == zgr_askAboutInfectedStation2,,"""Three million credits for the station's location and full salvage rights,"" she responds without hesitation. ""First and final offer.""","zgr_askAboutInfectedStationSell:""Done.""
zgr_askAboutInfectedStationMaybe:""I'll think about it.""",
zgr_askAboutInfectedStationSellSel,DialogOptionSelected,"$option == zgr_askAboutInfectedStationSell
!$global.ix_battlegroup_is_active
!$global.trinity_worlds_is_active","$global.circumfix_station_offered_tt = true
$global.circumfix_station_is_dead_tt = true
AddCredits 3000000
AdjustRepActivePerson 10
$global.circumfix_threat_gave_tech_tt = true","""Thank you, captain. I have an expedition to plan.""

The director shuts down her comms before you can reply. Her face is replaced by a spinning Tri-Tachyon logo, while beneath it is a notification for a vast credit transfer to your personal account.",cutCommLink:Cut the comm link,
zgr_askAboutInfectedStationMaybeSel,DialogOptionSelected,$option == zgr_askAboutInfectedStationMaybe,$global.circumfix_station_offered_tt = true,"""Speak to me again when you're done thinking,"" she says.

Your screen flickers, and her face is replaced by a spinning Tri-Tachyon logo.",cutCommLink:Cut the comm link,
,,,,,,
# Project Mayfly intel aftermath,,,,,,
relLevelLeagueMayflySucceeded,RelLevelMoreDescription,"$global.vice_project_mayfly_succeeded
$faction.id == persean",,"Following your encounter with Project Mayfly, the Persean League Fleet Intelligence Service has begun to monitor you more closely.",,
relLevelLeagueMayflyFailed,RelLevelMoreDescription,"$global.vice_project_mayfly_failed
$faction.id == persean",,"Following your encounter with Project Mayfly, the Persean League Fleet Intelligence Service has begun to monitor you more closely.",,
,,,,,,
# Handing in the PK - Persean League,,,,,,
pk_giveToPL,PopulateOptions,"$isPerson
!$player.turnedInPlanetkiller
PlayerHasCargo planetkiller
PK_CMD rightPostToAcceptPK
$personFaction.id == persean",$cameToYouSecondWithPK = true,,"pk_turnInPL:""Would the league be in need of a planetkiller?""",#Bringing up this topic will make TT Arroyo unhappy
pk_turnInPLSel,DialogOptionSelected,$option == pk_turnInPL,,"$PersonRank $personLastName stares at you in alarm.

""Don't tell me you're harboring a live planetkiller in orbit.""","pk_turnInPL2:""Don't worry. It's encrypted and inert. So do you want it or not?""",
pk_turnInPL2Sel,DialogOptionSelected,$option == pk_turnInPL2,,"""I see,"" $heOrShe nods and thinks for a moment. ""The League would happily dispose of such a dangerous device for you. I am authorized to release a suitable finder's fee of 500,000 credits in exchange for it, or...""","pk_turnInPL3:""Or?""",
pk_turnInPL3Sel,DialogOptionSelected,$option == pk_turnInPL3,,"$personLastName takes a moment to compose $himOrHerself.

""I'm in the middle of a rather delicate situation with the Navarchs,"" $heOrShe says. ""Around five cycles ago, the League and the Diktat signed a major arms deal that saw us come into possessing of several new fleet carriers. The originals were... we'll, I won't mince words. They were atrocious parade fodder. But after our forge engineers had a chance to clear out the blueprint of all its Diktat cruft, we ended up with a fine ship.""","pk_turnInPL4:""I don't see how that's a problem.""
pk_turnInPLrude:""Stop talking. I'm not interested.""",
pk_turnInPLrude,DialogOptionSelected,$option == pk_turnInPLrude,AdjustRepActivePerson -1,"""There's no need for that,"" $heOrShe frowns. ""I'll be going now. We can talk again once you've had a chance to learn some manners.""

The line is unceremoniously cut.",cutCommLink:Attend to other business,
pk_turnInPL4Sel,DialogOptionSelected,$option == pk_turnInPL4,,"""The problem is the Navarchs don't want to have anything to do with it. Buying carriers from the Sindrians while we were fully capable of adapting our own design from a Domain template was never a good look, and many of the Navarchs feel the ship is cursed, or beneath them, or both. That's where you come in.""

$HeOrShe brings up the schematics for the Proteus-class carrier, and to $hisOrHer credit, the design looks like a capable enough warship that combines heavy missile firepower with a decent complement of strike craft for long range engagements.",pk_turnInPL5:Continue,
pk_turnInPL5Sel,DialogOptionSelected,$option == pk_turnInPL5,,"""So here's what I propose. In exchange for the planetkiller, I will transfer a fully armed Porteus command carrier to your fleet. We'll keep quiet on the part of how you got it, avoid spooking any of our neighbors. And if you happen to put the ship to good use, the Fikenhild press will start putting out puff pieces on your exploits. Hopefully that'll be enough to shame the Navarchy into finally doing their jobs.""

$PersonRank $personLastName pauses for a moment to let you think it over. ""What do you say, captain? I'll help you dispose of a rad hot piece of technology you really shouldn't have in your possession, and you'll help me give the Proteus a much needed PR boost. It's a win-win.""","pk_turnInPLmoney:""I'll take the credits if it's all the same to you.""
pk_turnInPLship:""Sure, let's see what this ship can do.""
pk_turnInPLnm:""I'm going to need time to think this over.""",
pk_turnInPLmoneySel,DialogOptionSelected,$option == pk_turnInPLmoney,"AddCommodity credits 500000
AdjustRep persean 25
AdjustRepActivePerson 25
AddRemoveAnyItem SPECIAL planetkiller -1
$global.gavePKtoPL = true
$player.turnedInPlanetkiller = true
AddPotentialContact
$player.ethosMercenary++
$receivedAPlanetkillerFromPlayer","""If that's what you want,"" $heOrShe says, clearly disappointed.

The transaction is completed by the end of the day. A courier shuttle docks with your ship to retrieve the planetkiller. Once the League technicians verify it is indeed what you claim it to be, the credits are promptly deposited to your account through a series of shell companies. COMSEC would take years to untangle that financial web, if they even think to look at all. The Persean League clearly wishes to keep their newfound ownership of the planetkiller out of the news.

Your part is done, and now you're richer for it.",cutCommLink:Attend to other business,
pk_turnInPLshipSel,DialogOptionSelected,$option == pk_turnInPLship,,"""Excellent,"" $heOrShe says cheerfully. ""I'll arrange for the transfer right away. It's a pleasure doing business with you.""",pk_turnInPLship2:Continue,
pk_turnInPLship2Sel,DialogOptionSelected,$option == pk_turnInPLship2,"AddTextSmall ""Received Proteus class carrier"" good
SetTextHighlights ""Proteus class carrier""
$player.receivedShipPL = true
AdjustRep persean 25
AdjustRepActivePerson 25
AdjustRep sindrian_diktat -5
AddRemoveAnyItem SPECIAL planetkiller -1
$global.gavePKtoPL = true
$player.turnedInPlanetkiller = true
AddPotentialContact
$player.ethosMercenary++
$receivedAPlanetkillerFromPlayer","The transaction is completed by the end of the day. A courier shuttle carrying a weapons handling team verifies the device is what you claim it to be, then swiftly departs with the bomb secured onboard. Soon after, your new carrier arrives with little fanfare, disguised as just another standard market purchase. The Persean League clearly wishes to keep their newfound ownership of the planetkiller out of the news.

Your part is done, and the ship is yours.",cutCommLink:Attend to other business,
pk_turnInPLnmSel,DialogOptionSelected,$option == pk_turnInPLnm,FireAll PopulateOptions,"$HeOrShe nods. ""That's fine, captain. I'll be here to discuss it when you're ready. Was there anything else?""",,
,,,,,,
mission_faith_fury_comms,OpenCommLink,"$entity.MagicLib_Bounty_target_hasReply score:1000
$isPerson
$faction.id == vice_light_of_ludd
$postId == warlord
$rankId == brother",,"A figure clad in an eclectic combination of pirate and Pather garb appears on your screen. $HeOrShe gives you a roguish smile.

""This is John Star... sector of the independent merchant ship Pride of Kazeron, with escorts, can I help you?"" 

Several members of the bridge crew snort in amusement at their captain's antics, seemingly at ease and in no hurry to give battle. The enemy fleet is vast, and does not appear to view you as enough of a threat to take action.","mission_faith_fury_sermon:""Hail, $PersonRank $personFirstName! There's no need to be coy. I've come to hear the good word.""
mission_faith_fury_attackpolite:""Drop the act, $personFirstName. You're a wanted criminal. We both know how this ends.""
mission_faith_fury_attackrude:Engage the pirate armada without warning.
cutCommLink:Make a hasty retreat",
mission_faith_fury_sermonSel,DialogOptionSelected,$option == mission_faith_fury_sermon,,"""Really? Really!"" $personFirstName clasps $hisOrHer hands in delight. ""Praise be to Ludd!""

The devout pirate launches into a long diatribe about the Light of Ludd, the sins of avarice and idolatry, and specifically how Navarch Mars Kato is a servant of Moloch and an idiot besides, who had the gall to use an unholy Tri-Tachyon built Astral-class carrier to brutally oppress the Luddic faithful of Mazalot, despite being a flag officer of the League. 

$personFirstName seems to have a specific hatred for the Navarch that borders on obsession. Kato's involvement in suppressing the Luddic uprising on Mazalot has left an indelible mark on the pirate captain's mind. Even though the Mazalot rebellion was over half a century ago, before $personName was even born, $heOrShe has not forgotten the injustices of the Persean League.

Despite his eccentricities, $personFirstName paints a harrowing picture of League exploitation and violence against the Luddic majority on Kazeron. It's a compelling point, if you care about that sort of thing.","mission_faith_fury_sympathy:""The sins of the Persean League are unforgivable. But what is to be done?""
mission_faith_fury_leave:""The crimes of the League call for retribution, but I cannot take part in such violence.""
mission_faith_fury_attacksermon:""Ha! Your monologuing gave me all the time I needed to prepare for battle.""",
mission_faith_fury_attackrudeSel,DialogOptionSelected,$option == mission_faith_fury_attackrude,"MakeOtherFleetHostile true
MakeOtherFleetAggressive true
$entity.ignorePlayerCommRequests = true","""I was going to bless you and your soldiers before the battle, but you didn't even say hello. So now you can all burn in holy fire. I say good-day!""

$personName cuts the comms with a rude gesture, and a moment later, a swarm of warships and strike craft begin hurtling towards your fleet.",cutCommLink:Cut the comm link,
