name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autoFireAccBonus,extraArcForAI,hints,tags,GroupTag,tech/manufacturer,,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Short-Spool Shock-Driver,kyeltziv_light_shock_driver,,,,1000,,300,50,150,5,,,,,KINETIC,450,,0.5,1.5,1,,,,,,,900,500,9,240,,5,"SYSTEM, GUIDED_POOR, DIRECT_AIM, SHOW_IN_CODEX",codex_require_related,SHOCK_DRIVER_ONLY,Kyeltziv Technocracy,,Bombardment,Very Fast,Poor,,,"Hits on shield cause the round's shock core to overload, dealing %s damage.
Hits on armor and hull will generate %s EMP arcs, each dealing %s and %s damage. The number of arcs scales with target's flux level.",75 Energy | 0-3 | 50 Energy | 75 EMP,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,11320
Light Ion Repeater,kyeltziv_ionRepeater,,,,500,,15,80,0,60,,,,,ENERGY,10,,0.2,0.1,,,0,2,0.5,1,,1200,,,,,,"SYSTEM, PD, SHOW_IN_CODEX",codex_require_related,,Remnant,,Point Defense,,,,,"Hits on armor and hull have a %s chance to generate an EMP arc, dealing %s and %s damage.",30% | 10 Energy | 40 EMP,,,,11321
Shock Mitrailleuse,kyeltziv_shockMitrailleuse,,,,600,,45,10,4,10,,,,,KINETIC,35,,0,5.45,12,0.05,8,20,1,4,,900,,,20,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,MITRAILLEUSE_ONLY,Kyeltziv Technocracy,,Anti Shield,,,,,"Hits on armor and hull have a %s chance to generate an EMP arc, dealing %s and %s damage. Chance scales with target's flux level.",10-30% | 10 Energy | 20 EMP,,,,11322
Heavy Shock Mitrailleuse,kyeltziv_shockMitrailleuseHeavy,,,,600,,50,10,4,10,,,,,KINETIC,40,,0,5.65,16,0.05,8,20,1,4,,900,,,20,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,MITRAILLEUSE_ONLY,Kyeltziv Technocracy,,Anti Shield,,,,,"Hits on armor and hull have a %s chance to generate an EMP arc, dealing %s and %s damage. Chance scales with target's flux level.",10-30% | 10 Energy | 20 EMP,,,,11323
Light Vedha Pulse Rocket Launcher,kyeltziv_vedha_light,,,,2000,,60,,4,30,,,,,ENERGY,25,,0,6.8,2,0.6,,,,,,600,80,6,65,,,"SYSTEM, DO_NOT_AIM, DIRECT_AIM, MISSILE_SPREAD, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Fire Support,Very Fast,Medium,,,On impact increases the target's soft flux level by %s.,30,,,,11324
Light Fusion Buster,kyeltziv_buster_compact,,,,700,,45,,4,20,,,,,HIGH_EXPLOSIVE,40,,0.05,1.3,4,0.05,8,16,1,6,,800,,,10,,,"SYSTEM, PD, PD_ALSO, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Armor,,,,,"Each projectile has a %s chance to detonate on impact, dealing an additional %s damage.",20% | 22.5 Energy,,,,11325
Graviton Sweeper (Single),kyeltziv_graviton_sweeper_single,,,,500,50,,25,15,75,,,,,KINETIC,,40,0.1,0.1,,,,,,,2500,,,,,,,"SYSTEM,PD,ANTI_FTR, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,The beams gravitic effect slows and pushes targets off-course. This effect is most noticeable vs fighters and missiles.,,,,,11326
Heavy Bellis Missile Pack,kyeltziv_bellis_pack_heavy,,,,600,,160,,5,10,,24,0.75,6,FRAGMENTATION,,,0,2.75,6,0.15,,,,,,450,100,9.5,50,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Fighter,Fast,Excellent,,,,,,,,11327
Shock Avtomat,kyeltziv_shock_avtomat,,,,500,,35,5,2,50,,,,,KINETIC,4,,0,0.25,1,,0,7,1,10,,700,,,10,,,"SYSTEM, PD, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11328
Shock Tapanca,kyeltziv_shock_tapanca,,,,500,,35,5,2,50,,,,,KINETIC,4,,0,0.5,1,,0,7,1,10,,700,,,10,,,"SYSTEM, PD, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11329
