trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,frameOffsetMult,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
#float frameOffsetMult: scales the per-frame velocity offset (only necessary for overkill levels of control with default x1 multiplier).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EXAMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_culverin_shot,kyeltziv_culverin_shot,base_trail_zap,10,0.1,0,0.25,4,2,"[215,235,255]","[50,60,65]",0.5,256,-128,TRUE,5,2,1,0,TRUE,FALSE,TRUE,15,80,0.8,0,0,300,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_springald_shot_core,kyeltziv_springald_shot,base_trail_zap,10,0.1,0.05,0.3,7,3,"[195,215,255]","[50,85,60]",0.5,256,-128,TRUE,5,6,1,0,TRUE,FALSE,FALSE,12,100,1.2,0,0,360,TRUE,TRUE
kyeltziv_springald_shot_glow,kyeltziv_springald_shot,base_trail_smooth,10,0.05,0,0.2,14,9,"[35,105,178]","[35,105,178]",0.35,256,-128,TRUE,5,0,1,0,TRUE,FALSE,TRUE,20,200,0.1,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_springald_shot_light_core,kyeltziv_springald_shot_light,base_trail_zap,10,0.1,0.05,0.3,6,3,"[195,215,255]","[50,85,60]",0.5,256,-128,TRUE,5,6,1,0,TRUE,FALSE,FALSE,12,100,1.2,0,0,360,TRUE,TRUE
kyeltziv_springald_shot_light_glow,kyeltziv_springald_shot_light,base_trail_smooth,10,0.05,0,0.2,12,9,"[35,105,178]","[35,105,178]",0.3,256,-128,TRUE,5,0,1,0,TRUE,FALSE,TRUE,20,200,0.1,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_packet_shot,kyeltziv_packet_shot,base_trail_rough,8,0.1,0,0.1,7.5,3.5,"[255,220,180]","[80,40,10]",0.4,256,-128,TRUE,5,12,1,0,TRUE,FALSE,TRUE,10,180,0.9,0,0,480,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_packetRib_shot,kyeltziv_packetRib_shot,base_trail_rough,8,0.1,0,0.2,9,4,"[255,220,180]","[80,40,10]",0.45,256,-128,TRUE,5,12,1,0,TRUE,FALSE,TRUE,10,180,0.9,0,0,480,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_fougasse_pellet,kyeltziv_fougasse_pellet,base_trail_zap,8,0.1,0,0.2,3.5,1.5,"[185,205,230]","[45,55,60]",0.4,256,-128,TRUE,5,5,1,0,TRUE,FALSE,TRUE,15,80,0.8,0,0,300,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_lorentz_shot_A,kyeltziv_lorentz_shot,base_trail_mild,10,0.05,0.05,0.1,7,15,"[80,70,60]","[140,130,80]",0.25,256,-128,TRUE,7,1,1,0,TRUE,FALSE,FALSE,7,0,2,180,6,0,TRUE,TRUE
kyeltziv_lorentz_shot_B,kyeltziv_lorentz_shot,base_trail_zap,10,0.1,0,0.35,10,3,"[255,210,170]","[80,60,30]",0.45,256,-128,TRUE,15,11,1,0,TRUE,FALSE,TRUE,17,100,0.7,0,0,330,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_lorentz_frag,kyeltziv_lorentz_frag,base_trail_smoke,8,0.05,0,0.1,4.5,1.5,"[70,80,60]","[30,40,20]",0.25,256,-128,TRUE,5,8,1,0,TRUE,FALSE,TRUE,10,100,0.9,0,0,180,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_palliser_shot_A,kyeltziv_palliser_shot,base_trail_mild,10,0.05,0.05,0.1,8,18,"[60,70,80]","[100,115,125]",0.25,256,-128,TRUE,7,0,1,0,TRUE,FALSE,FALSE,6,0,2,180,5,0,TRUE,TRUE
kyeltziv_palliser_shot_B,kyeltziv_palliser_shot,base_trail_zap,10,0.1,0,0.45,12,4,"[215,235,255]","[50,60,65]",0.5,256,-128,TRUE,15,3,1,0,TRUE,FALSE,TRUE,15,90,0.7,0,0,300,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_heavy_galv_shot_A,kyeltziv_heavy_galv_shot,base_trail_zap,10,0,0.1,0.15,25,15,"[0,192,80]","[40,120,0]",0.5,200,200,TRUE,20,0,1,0,TRUE,FALSE,TRUE,100,20,0.3,0,1000,200,true,false
kyeltziv_heavy_galv_shot_B,kyeltziv_heavy_galv_shot,base_trail_zap,10,0,0.1,0.2,25,15,"[0,192,80]","[40,120,0]",0.5,200,200,TRUE,20,0,1,0,TRUE,FALSE,TRUE,100,20,0.3,0,1000,200,true,false
kyeltziv_heavy_galv_shot_C,kyeltziv_heavy_galv_shot,base_trail_zap,10,0,0.05,0.25,25,15,"[80,192,40]","[40,120,20]",0.9,200,200,TRUE,20,0,1,0,TRUE,FALSE,TRUE,100,100,0.3,0,0,300,true,false
kyeltziv_heavy_galv_shot_D,kyeltziv_heavy_galv_shot,base_trail_heavySmoke,10,0.25,0,0.6,24,32,"[80,100,60]","[40,60,40]",0.35,256,32,TRUE,10,2,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_med_galv_shot_A,kyeltziv_med_galv_shot,base_trail_zap,10,0,0.1,0.2,17,10,"[0,192,80]","[40,120,0]",0.5,200,200,TRUE,20,0,1,0,TRUE,FALSE,TRUE,100,20,0.3,0,1000,200,true,false
kyeltziv_med_galv_shot_B,kyeltziv_med_galv_shot,base_trail_zap,10,0,0.05,0.2,17,10,"[80,192,40]","[40,120,20]",0.9,200,200,TRUE,20,0,1,0,TRUE,FALSE,TRUE,100,100,0.3,0,0,300,true,false
kyeltziv_med_galv_shot_C,kyeltziv_med_galv_shot,base_trail_heavySmoke,10,0.2,0,0.5,16,22,"[80,100,60]","[40,60,40]",0.35,256,32,TRUE,10,2,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_light_galv_shot_A,kyeltziv_light_galv_shot,base_trail_zap,10,0,0.1,0.15,9,5,"[0,192,80]","[40,120,0]",0.5,200,200,TRUE,20,0,1,0,TRUE,FALSE,TRUE,100,20,0.3,0,1000,200,true,false
kyeltziv_light_galv_shot_B,kyeltziv_light_galv_shot,base_trail_zap,10,0,0.05,0.15,9,5,"[80,192,40]","[40,120,20]",0.9,200,200,TRUE,20,0,1,0,TRUE,FALSE,TRUE,100,100,0.3,0,0,300,true,false
kyeltziv_light_galv_shot_C,kyeltziv_light_galv_shot,base_trail_heavySmoke,10,0.15,0,0.4,8,11,"[80,100,60]","[40,60,40]",0.35,256,32,TRUE,10,2,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_v_light_galv_shot_A,kyeltziv_v_light_galv_shot,base_trail_zap,10,0,0.1,0.1,7,4,"[0,192,80]","[40,120,0]",0.5,200,200,TRUE,20,0,1,0,TRUE,FALSE,TRUE,100,20,0.3,0,1000,200,true,false
kyeltziv_v_light_galv_shot_B,kyeltziv_v_light_galv_shot,base_trail_zap,10,0,0.05,0.15,7,4,"[80,192,40]","[40,120,20]",0.9,200,200,TRUE,20,0,1,0,TRUE,FALSE,TRUE,100,100,0.3,0,0,300,true,false
kyeltziv_v_light_galv_shot_C,kyeltziv_v_light_galv_shot,base_trail_heavySmoke,10,0.15,0,0.35,6,8,"[80,100,60]","[40,60,40]",0.35,256,32,TRUE,10,2,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_discharger_jet,kyeltziv_discharger_jet,base_trail_smooth,8,0.05,0,0.1,4,1,"[100,150,255]","[20,40,80]",0.25,256,-128,TRUE,5,20,1,0,TRUE,FALSE,TRUE,20,160,0.8,0,0,240,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_mauste_buster_shot,kyeltziv_mauste_buster_shot,base_trail_rough,8,0.1,0.05,0.2,6,11,"[255,120,100]","[80,20,10]",0.35,256,-128,TRUE,5,15,1,0,TRUE,FALSE,FALSE,10,180,0.9,0,0,360,TRUE,TRUE
kyeltziv_light_buster_shot,kyeltziv_light_buster_shot,base_trail_rough,8,0.1,0.05,0.15,5,9,"[255,120,100]","[80,20,10]",0.25,256,-128,TRUE,5,15,1,0,TRUE,FALSE,FALSE,10,180,0.9,0,0,360,TRUE,TRUE
kyeltziv_mid_buster_shot,kyeltziv_mid_buster_shot,base_trail_rough,8,0.1,0.05,0.15,4.5,8.5,"[255,120,100]","[80,20,10]",0.25,256,-128,TRUE,5,15,1,0,TRUE,FALSE,FALSE,10,180,0.9,0,0,360,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_fusion_houfnice_shot_1,kyeltziv_fusion_houfnice_shot,base_trail_rough,9,0.1,0.1,0.2,9,14,"[255,120,100]","[80,20,10]",0.4,256,-128,TRUE,5,7,1,0,TRUE,FALSE,FALSE,10,180,0.9,0,0,360,TRUE,TRUE
kyeltziv_fusion_houfnice_shot_2,kyeltziv_fusion_houfnice_shot,base_trail_heavySmoke,10,0.1,0.1,0.5,12,24,"[50,50,50]","[30,15,20]",0.25,256,8,TRUE,10,2,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,TRUE,TRUE
kyeltziv_fusion_houfnice_shot_3,kyeltziv_fusion_houfnice_shot,base_trail_smoke,10,0.05,0.1,0.2,18,12,"[255,60,60]","[60,25,20]",0.25,256,8,TRUE,10,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,TRUE
kyeltziv_fusion_houfnice_shot_4,kyeltziv_fusion_houfnice_shot,base_trail_zap,10,0,0.05,0.2,9,10,"[255,190,30]","[180,110,20]",0.6,256,8,TRUE,0,1,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_smart_blaster_shot_1,kyeltziv_smart_blaster_shot,base_trail_smooth,10,0.05,0.05,0.15,11,3,"[80,60,160]","[30,15,60]",0.5,320,120,TRUE,5,1,1,0,TRUE,FALSE,TRUE,20,160,0.8,0,0,120,FALSE,TRUE
kyeltziv_smart_blaster_shot_2,kyeltziv_smart_blaster_shot,base_trail_smooth,10,0,0.05,0.05,7,4,"[160,160,200]","[66,66,160]",0.6,320,120,TRUE,5,0,1,0,TRUE,FALSE,TRUE,20,160,0.8,0,0,120,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_cranequin_shot_A,kyeltziv_cranequin_shot,base_trail_zap,10,0.1,0,0.4,7,2,"[215,235,255]","[50,60,65]",0.4,256,-128,TRUE,5,5,1,0,TRUE,FALSE,TRUE,30,120,0.8,0,0,300,TRUE,TRUE
kyeltziv_cranequin_shot_B,kyeltziv_cranequin_shot,base_trail_zap,10,0.1,0,0.4,7,2,"[215,235,255]","[50,60,65]",0.4,256,128,TRUE,5,5,1,0,TRUE,FALSE,TRUE,30,120,0.8,0,0,-300,TRUE,TRUE
kyeltziv_cranequin_shot_core,kyeltziv_cranequin_shot,base_trail_smooth,10,0.05,0,0.2,4,2,"[215,235,255]","[50,60,65]",0.25,256,128,TRUE,5,0,1,0,TRUE,FALSE,TRUE,30,120,0,0,0,0,false,TRUE
kyeltziv_cranequin_shot_contrail,kyeltziv_cranequin_shot,base_trail_contrail,10,0,0,0.16,10,38,"[185,190,195]","[25,30,35]",0.5,256,-128,TRUE,0,0,1,0,TRUE,FALSE,TRUE,30,200,0.1,0,0,0,false,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_shrap_driver_pellet,kyeltziv_shrap_driver_pellet,base_trail_fuzzy,8,0.05,0.05,0.25,5,2.5,"[240,220,180]","[216,126,99]",0.38,256,-128,TRUE,5,7,1,0,TRUE,FALSE,TRUE,20,100,0.8,0,0,360,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeltziv_osteotome_slug_Glow,kyeltziv_osteotome_slug,base_trail_smooth,10,0,0.05,0.15,48,24,"[120,150,255]","[25,120,100]",0.5,32,0,TRUE,24,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
kyeltziv_osteotome_slug_Core,kyeltziv_osteotome_slug,base_trail_smooth,10,0.1,0.05,0.7,6,3,"[150,120,255]","[200,180,255]",0.6,16,0,TRUE,24,1,1,,TRUE,FALSE,TRUE,10,100,0.4,0,0,0,false,false
kyeltziv_osteotome_slug_Contrail_1,kyeltziv_osteotome_slug,base_trail_contrail,10,0,0,0.32,12,56,"[110,80,190]","[60,80,60]",0.45,256,-128,TRUE,0,1,1,0,TRUE,FALSE,TRUE,30,200,0.1,0,0,0,false,TRUE
kyeltziv_osteotome_slug_Contrail_2,kyeltziv_osteotome_slug,base_trail_contrail,10,0,0,0.12,12,64,"[80,120,190]","[60,80,60]",0.35,256,-128,TRUE,0,2,1,0,TRUE,FALSE,TRUE,30,200,0.1,0,0,0,false,TRUE
kyeltziv_osteotome_slug_Smoke_1,kyeltziv_osteotome_slug,base_trail_zap,10,0,0,0.6,8,20,"[235,205,255]","[44,40,85]",0.28,256,128,TRUE,8,10,1,0,TRUE,FALSE,TRUE,20,120,0.8,0,0,360,TRUE,TRUE
kyeltziv_osteotome_slug_Smoke_2,kyeltziv_osteotome_slug,base_trail_zap,10,0,0,0.6,8,20,"[235,205,255]","[45,40,45]",0.28,256,128,TRUE,8,10,1,0,TRUE,FALSE,TRUE,120,20,0.8,0,0,360,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
