name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Warthog (XIV),gg_warthog_xiv,,Midline,flarelauncher_fighter,,750,200,200,,50,0,,130,180,150,100,200,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,110
Helot,hhe_ftr_helot,,Midline,,,250,40,100,,10,0,,275,350,350,180,270,15,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,1989
Draugr,hhe_ftr_draugr,,High Tech,,,500,75,300,,100,0,,175,350,300,112,270,20,PHASE,phasecloak,45,,,0.05,0.1,1,1,,,,,,,,,,,,,,,,0,,,1989
Talon (L),hhe_ftr_talon,,High Tech,,,200,25,150,,30,0,,325,400,300,150,300,10,FRONT,,90,0,1,,,1,1,,,,,,,,,,,,,,,,,,,
Thunder (LG),gg_thunder_lg,,Midline,,,500,75,750,,100,0,,450,600,500,150,300,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,111
Thunder (XIV),gg_thunder_xiv,,Midline,,,500,75,750,,100,0,,450,600,500,150,300,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,111
Manta,hhe_ftr_manta,,Midline,,,750,75,200,,50,0,,225,400,200,225,270,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,1989
Prism,hhe_ftr_prism,,Remnant,,,300,10,250,,50,0,,225,350,350,90,180,10,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,1989
Khopesh (XIV),gg_khopesh_xiv,,Low Tech,maneuveringjets,,500,75,500,,100,0,,180,225,200,60,120,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,113
Vernd,hhe_ftr_vernd,,High Tech,hhe_sys_flarelauncher_blue_single,,225,10,375,,75,0,,175,350,300,120,240,20,OMNI,,160,0,1,,,1,1,,,,,,,,,,,,,,,,0,,,1989
Tetra Drone,hhe_drone_tetra,,High Tech,,,35,15,100,,50,,,200,250,250,180,360,5,NONE,,,,,,,,,,,,,,,,,,,,,,,,0,,,1989
Brokkr Drone,hhe_drone_brokkr,,High Tech,,,25,10,100,,50,,,200,250,250,180,360,5,NONE,,,,,,,,,,,,,,,,,,,,,,,,0,,,1989
Gemini (PL),hhe_gemini,Light Carrier,Persean League,reservewing,12,4250,250,3000,,200,80,3,45,35,25,25,20,500,OMNI,,150,0.4,0.8,,,80,160,100,50,2,35,9,56000,5,15,360,0.25,13,13,CARRIER,rare_bp,,0.5,2,3,1989
