name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Pegasus (VI-P),jdp_pegasus_vi,Missile Battleship,VI Battlegroup,jdp_forgevats,32,17000,1500,14000,12500,500,365,,35,35,25,6,6,3000,FRONT,,270,0.4,0.8,,,500,600,400,300,10,30,7,400000,4,12,720,0.25,50,50,,,,,,,,"no_sell, no_dealer, codex_unlockable",,,,0.5,2,4,,512
Lorica,jdp_lorica,Destroyer,Low Tech,damper,14,5500,1000,4000,4167,250,75,,70,60,40,20,40,400,FRONT,,150,0.4,0.9,,,80,140,80,50,2,25,9,45000,5,12,420,0.25,15,15,,,,,,,,"rare_bp, merc, ind",,,,0.4,2,3,,303.5
Florencia,jdp_florencia,Destoyer,Low Tech,flarelauncher,15,5500,600,2200,1833,180,75,,80,70,50,30,25,500,OMNI,,120,0.4,1.1,,,150,350,120,60,2,15,9,32000,5,10,360,0.25,12,12,,,,,,,,"base_bp, ind",,,,0.5,2,3,,302
Florencia (A),jdp_florencia_hegemony,Destoyer,Hegemony,fastmissileracks,15,5500,600,2200,1833,180,75,,80,70,50,30,25,500,OMNI,,120,0.4,1.1,,,150,350,120,60,2,15,9,32000,5,10,360,0.25,12,12,,,,,,,,heg_aux_bp,,,,0.5,2,3,,302
Grendel (LP),jdp_grendel_lp,Phase Cruiser,Luddic Path,jdp_phaseorion,16,11000,1200,6000,12000,600,105,,60,60,60,15,20,1000,PHASE,phasecloak,,,,0.05,0.08,120,120,100,75,3,25,8,120000,5,20,480,0.25,18,18,,,,,,,,"rare_bp, LP_bp",,,,0.7,3,4,,406.5
Eider,jdp_eider,Battlecruiser,Midline,jdp_dualorion,30,20000,1800,20000,30000,1200,360,,35,25,20,15,15,3200,OMNI,,180,0.4,0.8,,,600,800,300,300,10,30,8,450000,3,15,600,0.25,60,60,,,,,,,,"rare_bp, merc",,,,0.5,2,4,,503
Deshret,jdp_deshret,Testbed Cruiser,Low Tech,jdp_targetdesignator,14,10000,1500,10000,14000,600,170,1,70,90,80,25,65,2500,FRONT,,180,1,2,,,150,200,100,80,4,27,7,100000,4,12,420,0.25,18,18,,,,,,,,"no_sell, no_dealer",,,,0.6,2,3,,415.1
Phaeton Mk.II,jdp_phaeton2,Modified Tanker,Pirate,jdp_unstableburn,6,3000,1000,10000,2500,300,60,,50,30,20,25,15,400,OMNI,,90,0.5,1.2,,,10,20,20,600,2,400,8,22000,5,20,300,0.25,12,12,,,,,,,,pirate_bp,,,,0.75,3,4,,311
Drover (LG),jdp_drover_lg,Gunship,Lion's Guard,flarelauncher_active,11,4500,450,4000,2813,300,80,,70,55,45,22,22,450,FRONT,,300,0.4,0.8,,,90,150,40,40,2,20,9,52000,5,15,360,0.25,14,14,,,,,,,,"LG_bp, codex_unlockable",,,,0.5,2,3,,318
Hummingbird,jdp_hummingbird,Gunship,Midline,entropyamplifier,5,2000,250,2750,2250,200,45,,120,125,105,48,95,100,FRONT,,150,0.4,0.8,,,8,20,35,30,1,25,11,20000,8,10,240,0.25,6,6,,,,,,,,"midline_bp, merc, ind",,,,0.5,2,2,,208
Conduit,jdp_conduit,Carrier,High Tech,reservewing,14,6500,650,7000,6000,550,120,2,75,55,35,20,25,1000,OMNI,,180,0.4,0.9,,,250,300,120,80,4,20,9,120000,3,12,360,0.25,30,30,,,,,,,CARRIER,"rare_bp, hist2t, merc, ind",,,,0.5,2,3,,407
Tripathia,jdp_tripathia,Third-Rate,Kalafina Larme,ammofeed,24,25000,3000,30000,30000,2000,320,,40,18,14,8,5,3000,PHASE,jdp_pdmissile,90,0.4,1.4,,,400,500,300,300,10,30,8,300000,3,15,600,0.25,50,50,,,,,,,,"no_sell, no_dealer",,,,0.5,2,4,,503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Flowerfish Mercenary Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinquedea (R),jdp_cinquedea_r,Artillery Cruiser,Flowerfish Network,jdp_combatmasterlidararray,17,5000,650,9000,16000,650,120,,75,45,25,28,28,1600,OMNI,,180,0.5,0.6,,,60,200,150,90,3,30,8,225000,4,20,420,0.25,25,25,,,,,,,,"no_sell, no_dealer, restricted",,,,0.6,2,3,,405
Astral (R),jdp_astral_r,Carrier,Flowerfish Network,reservewing,27,10000,900,12000,15000,600,270,5,30,15,10,7,4,3000,FRONT,,360,0.7,0.7,,,450,1000,250,200,10,20,7,400000,3,15,600,0.25,50,50,,,,,,,CARRIER,"no_sell, no_dealer, restricted",,,,0.6,2,4,,501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Easter-eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo (PMMM),jdp_buffalo_pmmm,Freighter,High Tech,jdp_temporalshell,5,3000,125,1500,1167,70,28,,50,25,20,15,7,400,OMNI,,120,0.5,1,,,10,20,400,80,2,40,8,20000,5,20,240,0.25,3,3,133,200,,,,,"CIVILIAN, FREIGHTER","no_sell, no_dealer, codex_unlockable",,,,0.6,2,3,,304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laplacian,jdp_laplacian,Hyperdestroyer,Unknown,jdp_phasecloak,65,6000,250,8000,16000,500,120,,200,200,200,100,100,500,OMNI,,180,0.3,0.6,0.06,0.01,30,40,30,90,5,30,10,2000000,4,20,420,0.25,65,65,,,,,,,,"omega, no_sell, no_dealer, codex_unlockable",,,,0.6,1,2,jdp_cloakentry,405
Custodian,jdp_custodian,Drone Battlecarrier,Explorarium,targetingfeed,30,18000,1600,25000,25000,1000,450,4,35,25,18,7,10,3500,FRONT,,200,0.4,1,,,0,0,300,400,15,27,7,500000,3,12,720,0.25,40,40,,,,,,,"UNBOARDABLE, CARRIER, COMBAT","no_sell, no_dealer, codex_unlockable",,,,0.4,2,4,,508
Beleagure,jdp_beleagure,Dreadnought,Explorarium,jdp_targetdesignator,35,35000,7500,30000,12500,2000,450,,35,15,15,4,4,10000,FRONT,,180,0.4,1,,,0,0,300,400,20,40,6,700000,3,12,1200,0.25,60,60,,,,,,,"UNBOARDABLE, CARRIER, COMBAT","no_sell, no_dealer, codex_unlockable",,,,0.2,2,2,,511
Chuuni,jdp_chuuni,Hybrid Droneship Cruiser,High Tech,jdp_temporalshell,35,12000,900,20000,16000,1200,215,,95,55,30,30,30,1800,OMNI,,180,0.5,0.6,,,75,200,150,90,3,30,8,200000,4,20,420,0.25,60,60,,,,,,,,"no_sell, no_dealer, codex_unlockable",,,,0.6,2,3,,405
Moulting,jdp_moulting,Caged Beast,Shrouded Dweller,convulsive_lunge,200,100000,1,40000,66667,4000,1000,,70,150,150,15,15,10000,FRONT,,90,0,0.7,,,0,0,0,0,1,0,5,0,100,1,,,40,40,,,,,,,"COMBAT, UNBOARDABLE","dweller, dweller_reckless, no_armor_schematic, codex_unlockable, monster, center_diamond_on_hull_center, limited_tooltip_if_locked, no_battle_salvage",,,Not available,0,,,,516
Marlin,jdp_marlin,Phase Cruiser,Flowerfish Network,jdp_radiators,22,8000,1250,10000,18000,900,145,,120,80,80,40,50,1200,FRONT,,,,,0.05,0.05,50,100,120,150,3,50,8,250000,4,30,420,0.25,35,35,,,,,,,SHIP_WITH_MODULES,"no_sell, no_dealer, codex_unlockable",,,,0.5,2,3,,406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penrose,jdp_penrose,Tesseron Fleetkiller,Unknown,jdp_temporalteleporter,240,25000,4000,40000,25000,3000,750,,100,120,120,45,135,10000,OMNI,,30,0,0.5,,,0,0,1000,800,20,50,11,5000000,20,5,,,160,160,,,,,,,SHIP_WITH_MODULES,"codex_unlockable, auto_rec",,,,0.5,2,3,,416
,jdp_penrose_leftengine,Left Engine,Unknown,,,4000,600,8000,13333,800,200,,,,,,,1000,NONE,,,,,,,0,0,0,0,0,0,,500000,2,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, DO_NOT_SHOW_MODULES_IN_FLEET_LIST, UNDER_PARENT",,,,,0.5,2,3,,416
,jdp_penrose_leftspire,Left Spire,Unknown,entropyamplifier,,8000,750,15000,13333,800,200,,,,,,,1000,NONE,,,,,,,0,0,0,0,0,0,,500000,2,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, DO_NOT_SHOW_MODULES_IN_FLEET_LIST, UNDER_PARENT",,,,,0.5,2,3,,416
,jdp_penrose_plate,Plate,Unknown,,,7500,750,10000,13333,800,150,,,,,,,1000,NONE,,,,,,,0,0,0,0,0,0,,500000,2,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, DO_NOT_SHOW_MODULES_IN_FLEET_LIST, UNDER_PARENT",,,,,0.5,2,3,,416
,jdp_penrose_rightengine,Right Engine,Unknown,,,4000,600,8000,13333,800,150,,,,,,,1000,NONE,,,,,,,0,0,0,0,0,0,,500000,2,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, DO_NOT_SHOW_MODULES_IN_FLEET_LIST, UNDER_PARENT",,,,,0.5,2,3,,416
,jdp_penrose_rightspire,Right Spire,Unknown,entropyamplifier,,9000,750,15000,13333,800,200,,,,,,,1000,NONE,,,,,,,0,0,0,0,0,0,,500000,2,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, DO_NOT_SHOW_MODULES_IN_FLEET_LIST, UNDER_PARENT",,,,,0.5,2,3,,416
,jdp_penrose_shard,Shard,Unknown,,,5000,600,10000,13333,800,150,,,,,,,1000,NONE,,,,,,,0,0,0,0,0,0,,500000,2,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, DO_NOT_SHOW_MODULES_IN_FLEET_LIST, UNDER_PARENT",,,,,0.5,2,3,,416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remnant Locus,jdp_coordination_centre,Remnant Locus,Remnant,,200,50000,1600,1000,2500,100,0,,30,200,200,3,3,6000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,,,,,,,"STATION, UNBOARDABLE","remnant, codex_unlockable",,,,0,,,,2201
,jdp_remnant_bulwark,Remnant Weapon Platform,Remnant,,1,6000,1250,6000,7500,300,1000,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,2,,2223
,jdp_remnant_sidepod_left,Remnant Weapon Platform,Remnant,,1,6000,1250,6000,7500,300,1000,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,2,,2223
,jdp_remnant_sidepod_right,Remnant Weapon Platform,Remnant,,1,6000,1250,6000,7500,300,1000,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,2,,2223
,jdp_remnant_hangar_right,Remnant Station Hangar,Remnant,recalldevice,1,5000,750,5000,7500,300,1000,2,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,2,,2240
,jdp_remnant_hangar_left,Remnant Station Hangar,Remnant,recalldevice,1,5000,750,5000,7500,300,1000,2,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,2,,2240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trident (DEM),jdp_trident,,Midline,,,500,25,500,,50,0,,130,150,125,30,90,50,OMNI,,180,0,1,,,3,3,,,,,,,,,,,,,,,,,,,,"no_sell, no_dealer, codex_unlockable",,,,0,,,,106
Pup,jdp_pup,,High Tech,phaseteleporter,,1500,150,3000,,150,55,,150,130,100,60,120,200,OMNI,,210,0.4,0.7,,,8,8,,,,,,,,,,,,,,,,,,,,"no_sell, no_dealer, codex_unlockable",,,,0.25,2,2,,200
Vertex,jdp_vertex,,High Tech,jdp_arcdrone,,450,50,600,,50,0,,160,300,250,90,180,30,OMNI,,150,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,"no_sell, no_dealer, codex_unlockable",,,,0,,,,103
Keep,jdp_keep,,Explorarium,flarelauncher_fighter,,2500,250,700,,100,0,,180,300,300,80,200,30,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,"no_sell, no_dealer, codex_unlockable",,,,0,,,,115
Barbican,jdp_barbican,,Explorarium,,,500,125,350,,50,0,,170,240,200,40,120,30,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,"no_sell, no_dealer, codex_unlockable",,,,0,,,,116
Manjusaka,jdp_manjusaka,,Flowerfish Network,flarelauncher_active,,800,50,1500,,150,55,,135,155,100,25,90,150,PHASE,phasecloak,,,,0.05,0.1,20,20,,,,,,,,,,,,,,,,,,,,"no_sell, no_dealer, codex_unlockable",,,,0.15,1,2,,200
Relay,jdp_relay,,Flowerfish Network,,,500,25,500,,50,0,,180,200,175,60,115,50,OMNI,,180,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,"no_sell, no_dealer, codex_unlockable",,,,0,,,,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erratic Fusion Lamp,jdp_lamp,Colony Item,Fabrique Orbitale,,400,160000,2400,1000,2500,100,10,,0,0,0,15,15,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,,,,,,,UNBOARDABLE,codex_unlockable,,,,0,,,,2004
