name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Hellburn,ork_hell,5,,0,1100,,3000,,800,2,0,,,,HIGH_EXPLOSIVE,3500,,0,12,1,,0,5,5,10,,525,,,4000,,,"SYSTEM,SHOW_IN_CODEX",he20,,Pirate,,Anti Armor,,,,,,,,,,8
Seilch Autocannon,ork_bolta,0,,3000,800,,525,,20,10,18,,,,KINETIC,625,,0,1.8,,,0,15,2,10,,725,,,100,,,,"kinetic18, ork_project_bp",,Bultach Coalition,,Anti Shield,,,,,,,,,,7.25
guh,ork_beem,1,0.1,600,2750,4952.25,,,50,1,0,,,,ENERGY,,5000,,,,,0,15,1,2.5,3000,,,,300,,,"SYSTEM, STRIKE",,,Bultach Coalition,,General,,,,,,,,,,
Teotha Plasma Cannon,ork_bigplasma,3,0.2,8000,900,,1400,100,200,9,26,,,,ENERGY,1750,,0.5,4,,,0,5,1,2.5,,900,,,500,,,,"energy20, he22, rare_bp, ork_project_bp",,Bultach Coalition,,General,,,,,,,,,,
Sgàirne Autocannon,ork_nailer,0,,5500,900,,275,,20,10,24,,,,KINETIC,335,,0,1.5,4,.4,0,8,1,10,,1050,,,100,,,,"kinetic20, ork_project_bp",,Bultach Coalition,,Anti Shield,,,,,,,,,,7.25
Losgadh Plasma Shotgun,ork_plasma_shotgun_medium,2,,4000,500,,250,25,200,10,16,,,,ENERGY,275,,.5,4,,,3,10,2,1,,450,,,3000,,,,"energy15, he16 rare_bp, ork_project_bp",,Bultach Coalition,,General,,,,,,,,,,40
Loshe Plasma Shotgun,ork_plasma_shotgun,2,,7000,700,,250,25,200,10,30,,,,ENERGY,325,,.5,5,,,3,10,2,1,,450,,,3000,,,,"energy20, he20 rare_bp, ork_project_bp",,Bultach Coalition,,General,,,,,,,,,,40
Beag Point Defense,ork_rotary_pd_small,2,,500,450,,75,,5,50,4,,,,FRAGMENTATION,55,,0,.75,3,0.1,0,20,2,20,,950,,,30,,,"PD,PD_ALSO","pd11, SR, rare_bp, ork_project_bp",,Bultach Coalition,,Point Defense,,,,,,,,,,3.8
Noshe Point Defense,ork_rotary_pd,2,,900,575,,100,,5,40,9,,,,FRAGMENTATION,45,,0,.35,5,0.1,0,20,2,20,,950,,,30,,,"PD,PD_ALSO","pd14, SR, rare_bp, ork_project_bp",,Bultach Coalition,,Point Defense,,,,,,,,,,3.8
Snàthad Point Defense,ork_rotary_pd_large,2,,2000,775,,100,,5,35,16,,,,FRAGMENTATION,35,,0,.15,10,0.1,0,20,2,20,,950,,,30,,,"PD,PD_ALSO","pd18, SR, rare_bp, ork_project_bp",,Bultach Coalition,,Point Defense,,,,,,,,,,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tof Plasma Cannon,ork_smallplasma,0,,0,500,,100,15,20,10,0,,,,ENERGY,0,,.2,5,2,.15,0,5,2,5,,650,,,950,,,SYSTEM,"no_drop, no_drop_salvage, no_sell, no_dealer",,Bultach Coalition,,General,,,,,,,,,,40
Caillean Torpedo,ork_sledge_fighter,2,,500,1150,,850,,30,10,0,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,575,65,5,450,,,STRIKE,"no_drop, no_drop_salvage, no_sell, no_dealer",,,,Torpedo,Fast,None,,,,,,,TRUE,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caillean Barrage,ork_sledge,2,,2250,1500,,1000,,30,10,24,32,0.08,4,HIGH_EXPLOSIVE,0,,0,5,4,0.15,0,0,0,0,,575,65,5,450,,,STRIKE,"strike20, rocket18, missile_bp, ork_project_bp",,,,Torpedo,Fast,None,,,,,,,TRUE,16.4
Caillean Cycler,ork_sledge_medium,2,,950,1500,,1000,,30,10,10,10,,,HIGH_EXPLOSIVE,0,,0,2,2,,0,0,0,0,,575,65,5,450,,,STRIKE,"strike12, rocket8, ork_project_bp",,,,Torpedo,Fast,None,,,,,,,TRUE,9.8
Caillean Rack,ork_sledge_small,2,,500,1500,,1000,,30,10,4,4,,,HIGH_EXPLOSIVE,0,,0,1,2,,0,0,0,0,,575,65,5,450,,,STRIKE,"strike6, rocket6, ork_project_bp",,,,Torpedo,Fast,None,,,,,,,TRUE,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsgiath LRM Barrage,ork_noshield_large,2,,2500,2650,,100,,15,30,24,36,0.2,6,KINETIC,0,,0,3,6,.5,0,0,0,0,,425,250,12,300,,,"GUIDED_POOR,DO_NOT_CONSERVE","missile18, strike12, ork_project_bp",,,,Anti Shield,Slow,Poor,,,"Submunition hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s EMP damage.",25% | 200,,,TRUE,11.75
Unsgiath LRM Cycler,ork_noshield_medium,2,,1000,2650,,100,,15,30,12,24,0.2,4,KINETIC,0,,0,3,4,.5,0,0,0,0,,350,200,12,300,,,"GUIDED_POOR,DO_NOT_CONSERVE","missile12, strike6, ork_project_bp",,,,Anti Shield,Slow,Poor,,,"Submunition hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s EMP damage.",25% | 200,,,TRUE,11.75
Unsgiath LRM Single,ork_noshield_small,2,,600,2650,,100,,15,30,5,6,0.2,1,KINETIC,0,,0,3,1,.5,0,0,0,0,,300,150,12,300,,,"GUIDED_POOR,DO_NOT_CONSERVE","missile8, strike4, ork_project_bp",,,,Anti Shield,Slow,Poor,,,"Submunition hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s EMP damage.",25% | 200,,,TRUE,11.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermal Pulse Blaster,ork_tpb,0,,100000,750,,145,,0,4,,16,2,,ENERGY,50,,0,0.2,1,,0,10,2,5,,1000,,,,,,"SYSTEM,SHOW_IN_CODEX",,,Bultach Coalition,,General,,,,,,,,,,40
Thermal Pulse Blaster,ork_tpb2,0,,100000,750,,145,,0,4,,16,2,,ENERGY,50,,0,0.2,1,,0,10,2,5,,1000,,,,,,"SYSTEM,SHOW_IN_CODEX",,,Bultach Coalition,,General,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tharneamh,giga_rail,3,,69,4500,,1500,200,500,3,100,,,,ENERGY,5000,,3,35,,,0,0,0,0,,4500,,,,,,"DO_NOT_CONSERVE,STRIKE,FIRE_WHEN_INEFFICIENT,SYSTEM,SHOW_IN_CODEX","no_drop, no_drop_salvage, strike20, no_bp_drop, no_sell, no_dealer, giga_rail, giga_rail",,Bultach Coalition,,General,,,,,,,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Flamer,ork_holy_flame,3,,69,1200,,175,25,3,5,100,160,5,40,ENERGY,100,,4.1,10,80,0.05,0,0,0,0,,650,,,,,,"DO_NOT_CONSERVE,STRIKE,FIRE_WHEN_INEFFICIENT,SYSTEM,SHOW_IN_CODEX","energy15, SR, no_drop, no_drop_salvage, strike20, no_bp_drop, no_sell, no_dealer",,Luddic Path,,General,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domhàthair,ork_railgun,3,,69,1300,,1000,300,200,9,100,,,,KINETIC,1000,,0.5,6,,,0,3,3,.5,,1100,,,500,,,"DO_NOT_CONSERVE,STRIKE,FIRE_WHEN_INEFFICIENT,SYSTEM,SHOW_IN_CODEX","kinetic25, he15, no_bp_drop, no_sell, no_dealer, no_drop, no_drop_salvage",,Bultach Coalition,,Anti Shield,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaneilgin,ork_gigashotgun,3,,69,1000,,400,25,200,6,30,,,,KINETIC,300,,0,8,,,3,10,2,1,,650,,,3000,,,"DO_NOT_CONSERVE,STRIKE,FIRE_WHEN_INEFFICIENT,SYSTEM,SHOW_IN_CODEX","kinetic25, he15, no_bp_drop, no_sell, no_dealer, no_drop, no_drop_salvage",,Bultach Coalition,,Anti Shield,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactor Radiation Glow,reactor_lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,43
Double Reactor Glow,reactor_lights2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,43
,ork_crusher_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,ork_dreadnot_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,ork_dreadnot_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,ork_dreadnot_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,ork_racer_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,ork_bigracer_bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,ork_skrunkly_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,ork_murtach_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,ork_grot_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,ork_grot_sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,ork_battlecruiser_mediums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,ork_skrunkly_top_lp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ork_faster_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ork_bomber_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
