name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Guidance Assist,hhe_ftr_locust_dummy,,,1,1400,,0,,0,30,,6,.5,6,FRAGMENTATION,0,,0,5,6,0.075,0,0,0,0,,75000,75000,0.01,1,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE","utility3, missile0",,Common,,Anti Small Craft,,,,,,,,,TRUE,1989
Lachesis-class Torpedo,hhe_ftr_lachesis,,,1,1250,,750,750,40,10,,1,,,ENERGY,0,,0,1,1,,0,0,0,0,,325,150,8,300,"SYSTEM, GUIDED_POOR","strike7, missile0",,Common,,Torpedo,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP damage. Hits on shields generate a shield-penetrating arc based on the target's hard flux level, causing up to %s bleed-through damage to armor or hull and %s EMP damage.",250 | 750,,,TRUE,1989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD Pulser (High Delay),hhe_ftr_pdpulser,,,1,400,166,,,0,100,,,,,ENERGY,,115,0.075,0.075,0.25,1.26,,,,,10000,,,,,"SYSTEM, PD","pd1, beam1",,Common,,Point Defense,,,,,,,,,,1989
PD Laser (Low Power),hhe_ftr_pdlaser,,,1,400,50,,,0,100,,,,,ENERGY,,25,0,0.25,,,,,,,2400,,,,,"SYSTEM, PD","pd2, beam2",,Common,,Point Defense,,,,,,,,,,1989
PD Laser (Low Power),hhe_ftr_pdlaser_cyan,,,1,400,50,,,0,100,,,,,ENERGY,,25,0,0.25,,,,,,,2400,,,,,"SYSTEM, PD","pd2, beam2",,Common,,Point Defense,,,,,,,,,,1989
PD Laser (Low Power),hhe_ftr_pdlaser_orange,,,1,400,50,,,0,100,,,,,FRAGMENTATION,,25,0,0.25,,,,,,,2400,,,,,"SYSTEM, PD","pd2, beam2",,Common,,Point Defense,,,,,,,,,,1989
PD Laser (Low Power),hhe_ftr_pdlaser_pink,,,1,400,50,,,0,100,,,,,ENERGY,,25,0,0.25,,,,,,,2400,,,,,"SYSTEM, PD","pd2, beam2",,Common,,Point Defense,,,,,,,,,,1989
Burst PD Laser (Low Power),hhe_ftr_pdburst,,,1,400,274,,,0,100,,,,,ENERGY,,150,0.1,0.1,0.3,0.5,,,,,10000,,,,,"SYSTEM, PD, ANTI_FTR","pd3, beam3",,Common,,Point Defense,,,,,,,,,,1989
Burst PD Laser (Low Power),hhe_ftr_pdburst_cyan,,,1,400,274,,,0,100,,,,,ENERGY,,150,0.1,0.1,0.3,0.5,,,,,10000,,,,,"SYSTEM, PD, ANTI_FTR","pd3, beam3",,Common,,Point Defense,,,,,,,,,,1989
Burst PD Laser (Low Power),hhe_ftr_pdburst_orange,,,1,400,274,,,0,100,,,,,ENERGY,,150,0.1,0.1,0.3,0.5,,,,,10000,,,,,"SYSTEM, PD, ANTI_FTR","pd3, beam3",,Common,,Point Defense,,,,,,,,,,1989
Burst PD Laser (Low Power),hhe_ftr_pdburst_pink,,,1,400,274,,,0,100,,,,,ENERGY,,150,0.1,0.1,0.3,0.5,,,,,10000,,,,,"SYSTEM, PD, ANTI_FTR","pd3, beam3",,Common,,Point Defense,,,,,,,,,,1989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse Phaser (High Delay),hhe_ftr_pulsephaser,,,1,500,,25,,0,50,,,,,HIGH_EXPLOSIVE,20,,0.15,0,2,0.15,0,4,.3333,4,,1000,,,,"SYSTEM, PD, PD_ALSO, ANTI_FTR",energy7,,Common,,Anti Fighter,,,,,Weapon will target missiles if no other targets are in range,,,,,1989
IR Pulse Laser (Low Power),hhe_ftr_irpulse,,,1,400,,25,,0,50,,,,,ENERGY,50,,0.33,0.17,,,,,,,,1000,,,,SYSTEM,energy8,,Common,,General,,,,,,,,,,1989
Light Ion Lance,hhe_ftr_ion_lance_light,3,.75,1000,500,400,,800,0,50,8,,,,ENERGY,,400,0.25,0.5,1,4,,,,,4800,,,,,,"energy10, hightech_bp",,Common,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,1989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##########################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decoy Flare Launcher,hhe_flarelauncher_ftr_blue,,,,200,,10,0,,,,,0,,ENERGY,0,0,0,0.1,3,0.4,30,30,0,0,,200,100,5,500,SYSTEM,,,,,,,,,,,,,,,1989
Decoy Flare Launcher,hhe_flarelauncher_ftr_blue_single,,,,200,,10,0,,,,,0,,ENERGY,0,0,0,0.1,1,0.4,30,30,0,0,,200,100,5,500,SYSTEM,,,,,,,,,,,,,,,1989
Decoy Flare Launcher,hhe_flarelauncher_ftr_single,,,,200,,10,0,,,,,0,,ENERGY,0,0,0,0.1,1,0.4,30,30,0,0,,200,100,5,500,SYSTEM,,,,,,,,,,,,,,,1989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##########################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
