name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Buffalo (YNA),yna_buffalo,Freighter,Ynadar,flarelauncher_active,7,3500,200,2000,,100,35,,60,30,25,25,12,400,OMNI,,90,0.3,0.8,,,15,30,400,80,2,40,8,30000,5,20,240,0.25,4,4,,,,,,,"CIVILIAN, FREIGHTER","ynadar_bp, ynadar",,0.6,2,3,,306
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starspot,yna_starspot,Light Cruiser,Ynadar,yna_sensorharmonics,14,7000,800,8000,,400,135,,80,60,50,40,30,750,FRONT,,270,0.4,0.8,,,70,140,100,120,3,40,9,100000,4,12,480,0.25,12,12,,,,,,,,"ynadar_basic_bp, ynadar_bp, ynadar",,0.5,2,3,,400
Grouse,yna_grouse,Cruiser,Ynadar,maneuveringjets,18,9000,1000,12000,,550,170,,60,40,30,25,25,1200,OMNI,,60,0.3,0.8,,,80,180,150,120,3,40,8,150000,3,12,480,0.25,22,22,,,,,,,,"ynadar_standard_bp, ynadar_bp, ynadar",,0.5,2,3,,401
Hailslammer,yna_hailslammer,Arsenal Cruiser,Ynadar,fastmissileracks,20,7000,700,7000,,350,150,,50,60,40,20,20,1200,FRONT,,240,0.4,0.8,,,120,200,120,90,3,30,8,150000,3,12,480,0.25,22,22,,,,,,,,"ynadar_standard_bp, ynadar_bp, ynadar",,0.5,2,3,,402
Weighbell,yna_weighbell,Cruiser,Ynadar,yna_hardener,17,8000,1250,14000,,700,140,,50,35,25,20,15,1600,OMNI,,90,0.3,0.8,,,160,320,200,160,4,40,8,175000,3,12,480,0.25,17,17,,,,,,,,"ynadar_standard_bp, ynadar_bp, ynadar",,0.5,2,4,,403
Arsonguard,yna_arsonguard,Heavy Cruiser,Ynadar,yna_multifeed,22,9000,1400,14000,,700,170,,50,25,15,20,15,2000,FRONT,,150,0.4,0.8,,,140,200,150,120,4,30,8,205000,3,12,600,0.25,27,27,,,,,,,,"ynadar_standard_bp, ynadar_bp, ynadar",,0.5,2,3,,404
Lumbergiant,yna_lumbergiant,Heavy Freighter,Ynadar,burndrive,11,6000,400,4000,,150,100,,40,20,10,10,10,1500,OMNI,,90,0.2,0.8,,,40,400,500,300,3,100,8,80000,3,20,480,0.25,9,9,,,,,,,"CIVILIAN, FREIGHTER","ynadar_basic_bp, ynadar_bp, ynadar",,0.6,2,3,,405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunblade,yna_sunblade,Battleship,Ynadar,maneuveringjets,28,11000,1350,20000,,1200,300,,50,30,20,12,5,2400,OMNI,,60,0.3,1.2,,,300,450,300,320,8,40,8,400000,3,15,720,0.25,35,35,,,,,,,,"ynadar_standard_bp, ynadar_bp, ynadar",,0.5,2,4,,500
Torchmace,yna_torchmace,Battlecruiser,Ynadar,maneuveringjets,24,10000,1200,16000,,800,260,,65,45,30,18,9,2500,OMNI,,120,0.3,1,,,180,270,250,280,7,40,8,400000,3,15,600,0.25,30,30,,,,,,,,"ynadar_standard_bp, ynadar_bp, ynadar",,0.5,2,4,,501
Flarebringer,yna_flarebringer,Battlebarge,Ynadar,yna_multifeed,22,16000,1200,14000,,700,280,,40,15,10,8,5,3000,OMNI,,90,0.4,1,,,200,600,1400,400,8,50,8,300000,3,20,720,0.25,28,28,,,,,,,,"rare_bp, ynadar_bp, ynadar",,0.7,2,4,,502
Winterthorn,yna_winterthorn,Arsenal Ship,Ynadar,fastmissileracks,28,14000,1000,20000,,1200,280,3,50,30,20,15,6,2800,OMNI,,120,0.4,1,,,600,900,250,400,9,40,8,500000,3,15,600,0.25,40,40,,,,,,,,"rare_bp, ynadar_bp, ynadar",,0.5,2,5,,502
Urgrand,yna_urgrand,Dreadnought,Ynadar,yna_mine_strike,36,25000,1750,30000,,1600,350,2,40,15,12,10,5,4000,OMNI,,120,0.3,0.8,,,500,750,600,600,10,60,8,650000,3,12,720,0.25,65,65,,,,,,,"CARRIER, COMBAT","rare_bp, ynadar_bp, ynadar",,0.4,2,5,,503
Perilstar,yna_perilstar,Juggernaught,Ynadar,fortressshield,80,40000,2000,30000,,1600,500,6,35,10,8,7,4,7000,OMNI,,150,0.3,0.8,,,1200,2000,1800,1500,15,100,7,2500000,2,8,1200,0.25,155,155,,,,,,,"SHIP_WITH_MODULES, NEVER_DODGE_MISSILES, CARRIER, COMBAT","ynadar_bp, ynadar",,0.4,3,7,,504
,yna_perilstar_m_f_l,Bastion,,yna_hardener,1,8000,1400,6000,,400,100,,0,0,0,10,10,350,NONE,,0,0,0,,,0,0,0,0,1,0,,100000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,,504.001
,yna_perilstar_m_f_r,Bastion,,yna_hardener,1,8000,1400,6000,,400,100,,0,0,0,10,10,350,NONE,,0,0,0,,,0,0,0,0,1,0,,100000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,,504.002
,yna_perilstar_m_t_l,Thruster,,,1,6000,600,4000,,200,0,,0,0,0,10,10,150,NONE,,0,0,0,,,0,0,0,0,1,0,,100000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,,504.003
,yna_perilstar_m_t_r,Thruster,,,1,6000,600,4000,,200,0,,0,0,0,10,10,150,NONE,,0,0,0,,,0,0,0,0,1,0,,100000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,,504.003
