name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
,csp_motorheadRleg,Leg Module R,,canister_flak,1,1750,300,,,,,,0,0,0,0,0,225,NONE,,,,,,,,,,,,,,,,10,,,0,0,"UNBOARDABLE,HIDE_IN_CODEX,UNDER_PARENT","module_unselectable, module_refit_bright, module_hull_bar_only,no_autofit",,0.3,1,2,802
,csp_motorheadLleg,Leg Module L,,canister_flak,1,1750,300,,,,,,0,0,0,0,0,225,NONE,,,,,,,,,,,,,,,,10,,,0,0,"UNBOARDABLE,HIDE_IN_CODEX,UNDER_PARENT","module_unselectable, module_refit_bright, module_hull_bar_only,no_autofit",,0.3,1,2,802
Slicer,csp_slicer,Energy Frigate,Midline,highenergyfocus,7,2250,250,3000,3125,300,60,,110,180,120,60,120,300,FRONT,,210,0.5,0.8,,,30,75,20,20,1,20,9,22000,8,10,330,0.25,6,6,,"midline_bp,sindrian_diktat,rare_bp,",,0.4,1,3,807
Ruination,csp_ruination,Stealth Bomber Frigate,Midline,flarelauncher_active,6,2000,150,2200,2250,200,45,,95,105,85,45,75,150,OMNI,,120,0.5,0.9,,,20,50,20,10,1,25,10,27500,8,10,300,0.25,6,6,,"midline_bp,sindrian_diktat,rare_bp,",,0.4,1,3,808
Ruination (XIVP),csp_ruinationxivp,Modified Stealth Bomber Frigate,Pirate,flarelauncher_active,6,2500,150,2700,2250,225,45,,95,105,85,45,75,150,OMNI,,120,0.5,0.9,,,20,50,20,10,1,25,10,27500,8,10,300,0.25,6,6,,codex_unlockable,,0.4,1,3,808
Manticore (XIVP),csp_manticorexivp,Modified Destroyer,Pirate,canister_flak,12,6000,750,5500,4167,275,90,,80,70,50,30,50,400,OMNI,,150,0.4,1,,,50,80,80,50,2,25,9,45000,5,12,420,0.25,12,12,,codex_unlockable,,0.5,1,2,810
Diaz,csp_dijeh,Old Cataphract,Low Tech,csp_Mammofeed,6,2500,350,2250,,225,50,,100,160,130,90,130,100,FRONT,,90,0.5,1,,,2,5,0,0,0.5,20,11,35000,10,15,260,0.25,7,7,MISSILE_HARDPOINTS_ROTATE,rare_bp,0.7,0.7,1,3,807
Deputy,csp_deputy,Heavy Armor Mech,Low Tech,canister_flak,15,4500,4500,3500,,225,50,,65,55,55,25,40,2000,FRONT,,20,0.2,0.8,,,250,400,50,50,2,20,9,40000,5,20,450,0.20,15,15,"SHIP_WITH_MODULES,MISSILE_HARDPOINTS_ROTATE","rare_bp, luddic_church, hegemony",0.7,0.5,1,3,810
,csp_deputy_legR,Leg Module R,,flarelauncher_fighter,1,2500,1500,,,,,,0,0,0,0,0,225,NONE,,,,,,,,,,,,,,,,10,,,0,0,"UNBOARDABLE,HIDE_IN_CODEX,UNDER_PARENT","module_unselectable, module_refit_bright, module_hull_bar_only,no_autofit",,0.3,1,2,802
,csp_deputy_legL,Leg Module L,,flarelauncher_fighter,1,2500,1500,,,,,,0,0,0,0,0,225,NONE,,,,,,,,,,,,,,,,10,,,0,0,"UNBOARDABLE,HIDE_IN_CODEX,UNDER_PARENT","module_unselectable, module_refit_bright, module_hull_bar_only,no_autofit",,0.3,1,2,802
Invicta Exspiravit,csp_phasetus,Phaseified Dreadnought,Low Tech,lidararray,35,40000,8500,35000,12500,500,240,,35,15,15,7,7,10000,PHASE,phasecloak,90,0,0,0.02,0.02,4000,6000,600,400,20,40,7,1400000,3,25,1140,0.25,60,60,"NEVER_DODGE_MISSILES,HIDE_IN_CODEX",codex_unlockable,,0.2,2,2,1000
Stheno,csp_stheno,Cruiser,High Tech,displacer,20,10000,900,11000,16000,750,170,,75,50,25,20,20,2000,OMNI,,180,0.5,0.6,,,50,150,150,90,3,30,8,265000,4,20,480,0.25,30,30,,"rare_bp, hist2t, merc, ind,tritachyon",,,,,
#XIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zagreus (XIV),csp_zagreus,Heavy Destroyer,XIV Battlegroup,microburn,15,8000,800,6000,,350,110,,75,50,40,50,40,800,OMNI,,150,0.5,1.0,,,100,175,80,35,2,30,9,90000,5,18,420,0.25,15,15,,"XIV_bp, rare_bp",,0.45,1,3,783
Thanatos (XIV),csp_thanatos,Assault Battlecarrier,XIV Battlegroup,csp_assaultmode_activate,12,5250,600,5000,,325,105,2,70,50,30,40,40,500,OMNI,,120,0.4,1.0,,,75,200,150,100,2,30,10,75000,3,20,390,0.25,12,12,COMBAT,"rare_bp, XIV_bp",,0.4,1,4,795
Melinoe (XIV),csp_melinoe,Frigate,XIV Battlegroup,displacer_degraded,8,1800,350,2500,2188,200,45,,105,85,75,30,60,450,OMNI,,180,0.4,0.8,,,30,50,50,25,1,25,10,55000,8,20,360,0.25,7,7,,"rare_bp, XIV_bp",,0.4,1,4,825
#Remnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanius,csp_Lanius,Assault Droneship,Remnant,csp_improvedhighenergyfocus,14,6000,600,5750,,350,125,,70,50,35,45,45,500,OMNI,,200,0.4,0.6,,,0,0,30,30,2,30,10,80000,4,13,480,0.25,14,20,"HIDE_IN_CODEX,UNBOARDABLE","remnant,auto_rec,codex_unlockable",,0.3,0,2,791
Vritra,csp_vritra,Frontline Droneship,Remnant,csp_modifiedfortressshield,16,4000,500,5250,,350,130,,50,35,25,30,30,650,FRONT,,110,0.7,0.8,,,0,0,20,20,3,30,10,90000,5,20,480,0.25,15,25,"HIDE_IN_CODEX,UNBOARDABLE","remnant,auto_rec,codex_unlockable",,0.5,1,3,792
Thornbill,csp_thornbill,Missile Droneship,Remnant,csp_forgevats,14,4000,400,6000,,300,85,,80,35,70,45,45,400,OMNI,,120,0.4,0.6,,,0,0,50,50,2,35,10,85000,3,25,390,0.25,10,15,"HIDE_IN_CODEX,UNBOARDABLE","remnant,auto_rec,codex_unlockable",,0.5,1,3,798
Enkindle,csp_enkindle,Heavy Droneship Cruiser,Remnant,displacer,28,10000,1150,12000,10000,650,210,,40,30,25,24,24,2000,OMNI,,150,0.5,0.6,,,0,0,100,100,4,30,8,355000,4,20,600,0.25,30,30,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec,codex_unlockable",,0.5,1,3,803
Luminous,csp_luminous,Heavy Droneship Frigate,Remnant,csp_transam,8,2250,300,4500,,350,45,,115,180,130,70,200,400,OMNI,,150,0.4,0.6,,,0,0,15,15,1,40,10,48000,5,10,420,0.25,12,12,"UNBOARDABLE, HIDE_IN_CODEX,MISSILE_HARDPOINTS_ROTATE","remnant, auto_rec,codex_unlockable",0.50,0.5,1,3,804
Luster,csp_luster,Automonus Drone Cataphract,Remnant,plasmajets,8,800,150,2350,,275,45,1,170,30,90,60,90,250,OMNI,,150,0.4,0.8,,,0,0,5,5,2,40,11,45000,5,20,330,0.25,10,10,"UNBOARDABLE, HIDE_IN_CODEX,MISSILE_HARDPOINTS_ROTATE","auto_rec,codex_unlockable",,0.5,1,3,805
Torchwood,csp_torch,Drone Carrier,Remnant,csp_DamperFeed,30,15000,1000,14500,37500,850,310,8,40,30,20,12,15,3000,OMNI,,200,0.4,0.6,,,0,0,100,150,10,40,8,650000,3,15,720,0.25,55,55,"UNBOARDABLE, HIDE_IN_CODEX,CARRIER","remnant, auto_rec,codex_unlockable",,0.5,1,4,806
Diaphan,csp_Diaphan,Droneship Cruiser,Remnant,acausaldisruptor,20,10000,900,11000,12000,600,145,1,55,28,23,15,15,2000,OMNI,,270,0.4,0.6,,,0,0,120,90,3,30,9,180000,5,15,540,0.25,28,28,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec,codex_unlockable",,0.5,1,3,821
Strahlen,csp_strahlen,Droneship Destroyer,Remnant,targetingfeed,14,6000,700,6000,3750,350,90,2,75,65,45,25,40,700,OMNI,,150,0.4,0.6,,,0,0,50,30,2,30,10,60000,5,15,420,0.25,11,11,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec,codex_unlockable",,0.5,1,3,820
Licht,csp_licht,Droneship Frigate,Remnant,forgevats,10,1500,250,2500,2500,250,55,,120,200,150,75,245,250,OMNI,,150,0.4,0.6,,,0,0,20,20,1,40,11,35000,5,10,360,0.25,6,6,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec,codex_unlockable",,0.5,1,3,822
#Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knifeclaw,csp_knifeclaw,,High Tech,flarelauncher_fighter,,450,50,550,,50,0,,220,350,300,80,160,35,OMNI,,160,0,1,,,1,1,,,,,,,,,,,,,,,,0,,,751
Dagclaw,csp_Dagclaw,,Midline,csp_canisterflak_fighter,,1000,250,250,,20,0,,150,255,175,70,130,60,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,752
Mini-Trident,csp_mini_trident,,High Tech,highenergyfocus,,250,30,500,,50,0,,300,350,300,100,180,25,OMNI,,270,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,754
Quant,csp_Quant,,Low Tech,csp_Mammofeed,,550,150,450,,75,0,,175,250,250,55,120,55,FRONT,,140,0,1,,,2,2,,,,,,,,,,,,,,,,0,,,755
Fantia,csp_fantia,,Midline,,,500,150,100,,50,0,,180,130,130,60,100,40,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,757
Gusto,csp_gusto,,Midline,csp_Mammofeed,,700,250,200,,125,0,,130,105,100,40,80,60,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,759
Scattershot,csp_scattershot,,Low Tech,flarelauncher_active,,800,200,100,,20,0,,110,80,80,55,70,60,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,0,,,760
Vic Viper,csp_vicviper,,High Tech,entropyamplifier,,550,100,2500,,250,0,,150,85,85,95,95,100,OMNI,,270,0,0.8,,,5,5,,,,,,,,,,,,,,,,0,,,761
Option,csp_optiondrone,,High Tech,,,300,100,1200,,100,0,,250,150,150,150,150,50,OMNI,,360,0,0.9,,,0,0,,,,,,,,,,,,,,,,0,,,762
FalchionB,csp_falchionb,,High Tech,,,400,75,2000,,150,0,,175,90,90,100,100,75,OMNI,,120,0,0.9,,,5,5,,,,,,,,,,,,,,,,0,,,763
Lord British,csp_lordbritish,,High Tech,,,700,150,2500,,250,0,,220,140,140,110,110,100,FRONT,,270,0,0.9,,,5,5,,,,,,,,,,,,,,,,0,,,764
Jade Knight,csp_jadeknight,,High Tech,flarelauncher,,600,100,1500,,100,0,,250,150,150,140,140,75,OMNI,,150,0,0.9,,,5,5,,,,,,,,,,,,,,,,0,,,765
Laser Bit,csp_MidlineMechDrone,,Midline,,,600,100,900,,100,0,,150,100,85,80,80,50,FRONT,,180,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,766
Ignite,csp_ignite,,Remnant,,,400,75,300,,50,0,,200,150,100,90,90,150,OMNI,,90,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,767
Luster,csp_luster_fighter,,Remnant,,,550,100,500,,125,0,,180,150,110,75,100,200,OMNI,,95,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,768
Luz,csp_luz,,Remnant,,,250,30,350,,50,0,,200,350,350,100,240,30,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,769
#LG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mako (LG),csp_makoLG,Heavy Bomber,Lion's Guard,canister_flak,6,2300,400,2800,2200,220,45,,180,175,100,90,120,300,FRONT,,300,0.4,0.85,,,10,40,20,20,1,30,10,65000,5,10,300,0.25,6,4,,"rare_bp, lions_guard,codex_unlockable",,0.4,1,2,804
Fisheagle (LG),csp_fisheagleLG,Heavy frigate,Lion's Guard,microburn,7,2400,400,3300,,250,65,,120,160,140,50,100,400,FRONT,,300,0.4,0.85,,,10,30,35,20,1,25,10,80000,5,10,360,0.25,7,10,,"rare_bp, lions_guard,codex_unlockable",,0.4,1,2,805
Kindling (LG),csp_kindlingLG,Support Carrier,Lion's Guard,reservewing,9,5000,600,4750,,300,85,2,85,60,45,40,60,475,FRONT,,300,0.4,0.85,,,60,120,80,50,2,25,9,125000,5,15,360,0.25,11,12,"CARRIER,COMBAT","rare_bp, lions_guard,codex_unlockable",,0.3,1,3,807
Bonnethead (LG),csp_bonnetheadlg,Assault Cruiser,Lion's Guard,highenergyfocus,18,12000,1400,11500,,550,160,,75,75,45,35,35,1400,FRONT,,180,0.3,0.85,,,120,200,125,90,2,25,9,245000,3,12,540,0.25,28,28,,"rare_bp, lions_guard,codex_unlockable",0.5,0.5,1,3,808
Skystriker (LG),csp_skystrikerLG,Battlecruiser,Lion's Guard,csp_mobilize_engage,30,12500,1100,20000,,1250,310,2,65,95,60,20,25,3200,FRONT,,300,0.4,1.2,,,350,500,250,250,10,30,8,460000,3,15,720,0.25,45,50,COMBAT,"rare_bp, lions_guard,codex_unlockable",,0.3,1,4,810
Garuda (LG),csp_garudalg,Missile Battlecruiser,Lion's Guard,forgevats,25,13000,1250,18000,,1000,280,,45,20,15,8,12,2500,OMNI,,150,0.4,0.85,,,400,500,300,300,10,30,8,330000,3,15,660,0.25,45,45,,"rare_bp, lions_guard,codex_unlockable",,0.6,1,3,809
Manticore (LG),csp_manticorelg,Converison Destroyer,Lion's Guard,canister_flak,14,3750,550,7000,4167,450,100,,85,75,55,35,55,325,OMNI,,150,0.4,0.85,,,60,130,50,20,2,25,9,75000,5,12,420,0.25,14,14,,"rare_bp, lions_guard,codex_unlockable",,0.4,1,2,811
Whitefin (LG),csp_whitefinlg,Alterated Destroyer,Lion's Guard,microburn,12,4000,450,6000,6667,350,100,,110,100,70,50,110,350,OMNI,,120,0.4,0.75,,,30,85,20,15,2,20,9,85000,5,20,420,0.25,12,12,,"rare_bp, lions_guard,codex_unlockable",,0.4,1,2,812
Owl (LG),csp_owlLG,Cruiser,Lion's Guard,highenergyfocus,17,8000,900,9000,,500,160,2,55,35,30,16,25,1100,OMNI,,135,0.3,0.8,,,160,250,120,80,3,25,8,210000,3,12,510,0.25,25,25,,"rare_bp, lions_guard,codex_unlockable",0.5,0.5,2,3,815
Bazaar Falcon (LG),csp_LGbazaarfalcon,Upgraded Battlecarrier,Lion's Guard,csp_assaultmode_activate,20,7000,950,8000,,400,155,2,70,50,30,17,22,750,FRONT,,270,0.5,0.85,,,150,250,100,80,3,33,9,200000,4,15,480,0.25,22,22,COMBAT,"rare_bp, lions_guard,codex_unlockable",,0.5,2,3,779.1
Cetan (LG),csp_LG_Mech,Honor Guard Mech,Lion's Guard,csp_transam,18,5000,700,6000,,350,100,,110,70,70,55,55,500,OMNI,,150,0.4,0.9,,,25,60,30,40,2,30,9,160000,3,20,390,0.25,18,18,MISSILE_HARDPOINTS_ROTATE,"rare_bp, lions_guard,codex_unlockable",,0.5,1,2,799.1
Puritan (LG),csp_moralistlg,Light Destroyer,Lion's Guard,maneuveringjets,12,5500,550,7300,,400,130,,90,90,70,25,20,475,OMNI,,90,0.3,1.1,,,80,120,120,100,2,20,9,90000,4,12,390,0.25,14,14,,"rare_bp, lions_guard,codex_unlockable",0.5,0.5,1,2,823
Serpent (LG),csp_viperlg,Cruiser,Lion's Guard,maneuveringjets,18,9000,900,8200,,500,155,1,65,60,40,40,20,950,OMNI,,120,0.4,0.8,,,140,200,80,140,3,40,9,135000,6,18,510,0.25,23,23,,"rare_bp, lions_guard,codex_unlockable",,0.5,1,2,824
#WIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakinyan Cetan (LG),csp_unicetan,Custom Heavy Assault Mech,Lion's Guard,csp_transam,40,7000,1000,9000,,425,130,2,140,90,90,45,45,750,OMNI,,150,0.4,0.7,,,50,150,30,40,2,30,9,660000,3,20,600,0.25,32,32,"MISSILE_HARDPOINTS_ROTATE,HIDE_IN_CODEX",codex_unlockable,,0.5,1,2,2000
Heavy Laser Bit,csp_heavylaserbit,,Lion's Guard,,,1000,250,900,,100,0,,130,85,70,65,65,200,FRONT,,180,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,766
#WIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#XIV Remnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brilliant(XIV),csp_xivbrilliant,Droneship Cruiser,XIV Remnant,flarelauncher_active,20,10000,1000,11000,12000,650,155,1,60,35,30,20,25,2500,OMNI,,270,0.5,0.6,,,0,0,60,45,3,30,10,1400000,5,15,600,0.20,25,25,"UNBOARDABLE, HIDE_IN_CODEX",codex_unlockable,,0.5,2,4,980
Fulgent(XIV),csp_xivfulgent,Droneship,XIV Remnant,highenergyfocus,15,7000,600,7000,3750,350,110,,85,75,50,30,50,1000,OMNI,,150,0.4,0.6,,,0,0,40,30,2,30,10,500000,5,15,480,0.20,15,15,"UNBOARDABLE, HIDE_IN_CODEX",codex_unlockable,,0.5,2,4,981
Glimmer(XIV),csp_xivglimmer,Droneship,XIV Remnant,highenergyfocus,10,3500,300,3500,3125,300,60,,130,250,200,90,270,700,OMNI,,150,0.4,0.6,,,0,0,25,20,1,40,11,300000,5,10,420,0.20,10,10,"UNBOARDABLE, HIDE_IN_CODEX",codex_unlockable,,0.5,2,4,982
Lumen(XIV),csp_xivlumen,Droneship,XIV Remnant,displacer,10,3000,250,3000,2500,250,50,,140,250,200,90,270,650,OMNI,,150,0.4,0.6,,,0,0,20,20,1,40,11,300000,5,10,420,0.20,8,8,"UNBOARDABLE, HIDE_IN_CODEX",codex_unlockable,,0.5,2,4,983
Scintilla(XIV),csp_xivscintilla,Droneship Carrier,XIV Remnant,recalldevice,12,6000,450,5000,2500,250,90,2,60,60,25,20,15,1000,OMNI,,270,0.3,0.6,,,0,0,20,30,2,30,10,500000,5,15,480,0.20,12,12,"UNBOARDABLE, HIDE_IN_CODEX",codex_unlockable,,0.5,2,4,984
Coelum(XIV),csp_xivcoelum,Droneship Cruiser,XIV Remnant,csp_improvedhighenergyfocus,28,10500,900,15000,16000,675,180,2,50,30,30,25,30,3000,OMNI,,270,0.4,0.6,,,0,0,25,10,4,30,10,3000000,5,15,600,0.20,34,34,"UNBOARDABLE, HIDE_IN_CODEX",codex_unlockable,,0.5,2,4,985
Ravelin(XIV),csp_ravelinxiv,The Inevitable Future,XIV Remnant,csp_ravelin_drone_guards,,6000,600,5000,,400,80,,115,115,115,60,90,700,OMNI,,120,0.1,0.6,,,0,0,10,10,1,50,11,10000000,1,10,480,0.20,30,15,HIDE_IN_CODEX,codex_unlockable,,0.5,0,5,986
Lux(XIV),csp_xivlux,,XIV Remnant,flarelauncher_fighter,,500,60,400,,75,0,,220,350,350,100,240,80,OMNI,,160,0,0.8,,,0,0,,,,,,,,,,,,,,,,0,,,980.1
Spark(XIV),csp_xivspark,,XIV Remnant,highenergyfocus,,400,50,250,,50,0,,335,500,400,90,270,65,OMNI,,160,0,0.8,,,0,0,,,,,,,,,,,,,,,,0,,,980.2
Wasp(XIV),csp_xivwasp,,XIV Remnant,,,200,10,350,,100,0,,325,500,450,180,360,60,OMNI,,160,0,0.8,,,0,0,,,,,,,,,,,,,,,,0,,,980.3
Flash(XIV),csp_xivflash,,XIV Remnant,,,500,60,450,,75,0,,170,240,200,40,120,80,OMNI,,160,0,0.8,,,0,0,,,,,,,,,,,,,,,,0,,,980.4
Claw(XIV),csp_xivclaw,,XIV Remnant,,,400,50,250,,75,0,,375,350,300,120,240,70,OMNI,,160,0,0.8,,,0,0,,,,,,,,,,,,,,,,0,,,980.5
Verglas(XIV),csp_verglas,,XIV Remnant,,,600,100,750,,150,0,,150,150,150,60,60,150,FRONT,,270,0,0.6,,,0,0,,,,,,,,,,,,,,,,0,,,980.6
#Omega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,csp_bravais,Bravais,Unknown,,,800,200,800,,150,0,,230,230,230,150,360,200,OMNI,,150,0,0.6,,,0,0,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,980.7
,csp_pyramid,Pyramid,Unknown,damper_omega,35,10000,1200,12000,25000,1200,170,,110,120,120,45,135,2000,OMNI,,150,0,0.5,,,0,0,40,150,3,50,11,500000,20,5,,,20,20,"UNBOARDABLE, HIDE_IN_CODEX","omega, no_autofit, restricted",,0.5,2,3,796
,csp_cutlet,Cutlet,Unknown,csp_improvedhighenergyfocus,22,7000,800,11000,13333,800,130,1,130,150,150,70,190,400,OMNI,,180,0,0.5,,,0,0,10,60,2,50,11,200000,20,5,,,12,12,"UNBOARDABLE, HIDE_IN_CODEX","omega, no_autofit, restricted",,0.5,2,3,796.1
,csp_boron,Boron,Unknown,plasmajets,28,8500,950,9500,13333,950,155,,120,120,120,50,150,1500,OMNI,,180,0,0.5,,,0,0,30,120,3,50,11,350000,20,5,,,16,16,"UNBOARDABLE, HIDE_IN_CODEX","omega, no_autofit, restricted",,0.5,2,3,796.2
