name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Stealth Minefield,kyeltziv_stealth_minefield,,,Kyeltziv Technocracy,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.kyeltziv.hullmods.kyeltziv_StealthMinefield,Shock Mines attack enemy ships during battle.,Shock Mines attack enemy ships during battle.,graphics/hullmods/stealth_mines.png
,,,,,,,,,,,,,,,,,,
Parallel Nanoforge Processing,kyeltziv_parallelAutoforge_rem,,,Kyeltziv Technocracy,codex_require_related,,,,TRUE,,25,25,25,25,org.amazigh.kyeltziv.hullmods.kyeltziv_parallelAutoforge_rem,"This vessel's nanoforge has been optimised to support a smaller number of LPCs than is typically standard. This setup enables for parallel processing of fabrication, resulting in a %s reduction in strikecraft replacement time.",Reduces time for the droneship to replace lost fighters.,graphics/hullmods/kyeltziv_parallel_autoforge_rem.png
Drone Platform,kyeltziv_DronePlatform,,,Kyeltziv Technocracy,,,,,TRUE,TRUE,69,96,420,420,org.amazigh.kyeltziv.hullmods.kyeltziv_DronePlatform,"Multiplies weapon health by %s, and increases weapon repair rate by %s, And more! SPECIAL HIDDEN MOD INTENDED FOR THE KOHTA DRONE PLATFORM ONLY.",Boosts Weapon Health + Repair.,graphics/hullmods/armored_weapon_emplacements.png
,,,,,,,,,,,,,,,,,,
Linnake Gun Platform,kyeltziv_GunPlatform_info,,,Kyeltziv Technocracy,,,,,TRUE,,69,96,420,420,org.amazigh.kyeltziv.hullmods.kyeltziv_GunPlatform_info,[Linnake Gun Platform Information Hullmod],Linnake Gun Platform Information Hullmod.,graphics/hullmods/kyeltziv_linnake_hmod.png
Gun Platform (Base),kyeltziv_GunPlatform_base,,,Kyeltziv Technocracy,,,,,TRUE,TRUE,69,96,420,420,org.amazigh.kyeltziv.hullmods.kyeltziv_GunPlatform_base,"Multiplies weapon health by %s, and increases weapon repair rate by %s, And more! SPECIAL HIDDEN MOD INTENDED FOR THE PROCHNYI'S GUN PLATFORM ONLY. [DEFAULT MODE]",Boosts Weapon Health + Repair.,graphics/hullmods/kyeltziv_linnake_hmod.png
Gun Platform (Assault),kyeltziv_GunPlatform_assault,,,Kyeltziv Technocracy,,,,,TRUE,TRUE,69,96,420,420,org.amazigh.kyeltziv.hullmods.kyeltziv_GunPlatform_assault,"Multiplies weapon health by %s, and increases weapon repair rate by %s, And more! SPECIAL HIDDEN MOD INTENDED FOR THE PROCHNYI'S GUN PLATFORM ONLY. [ASSAULT MODE]",Boosts Weapon Health + Repair.,graphics/hullmods/kyeltziv_linnake_hmod.png
Gun Platform (Siege),kyeltziv_GunPlatform_siege,,,Kyeltziv Technocracy,,,,,TRUE,TRUE,69,96,420,420,org.amazigh.kyeltziv.hullmods.kyeltziv_GunPlatform_siege,"Multiplies weapon health by %s, and increases weapon repair rate by %s, And more! SPECIAL HIDDEN MOD INTENDED FOR THE PROCHNYI'S GUN PLATFORM ONLY. [SIEGE MODE]",Boosts Weapon Health + Repair.,graphics/hullmods/kyeltziv_linnake_hmod.png
Gun Platform (Support),kyeltziv_GunPlatform_support,,,Kyeltziv Technocracy,,,,,TRUE,TRUE,69,96,420,420,org.amazigh.kyeltziv.hullmods.kyeltziv_GunPlatform_support,"Multiplies weapon health by %s, and increases weapon repair rate by %s, And more! SPECIAL HIDDEN MOD INTENDED FOR THE PROCHNYI'S GUN PLATFORM ONLY. [SUPPORT MODE]",Boosts Weapon Health + Repair.,graphics/hullmods/kyeltziv_linnake_hmod.png
,,,,,,,,,,,,,,,,,,
Pirate Assault Conversion,kyeltziv_pirate_conversion,,,Pirate,,,,,TRUE,,0,0,0,0,org.amazigh.kyeltziv.hullmods.kyeltziv_pirate_conversion,<This will be messy.>,Boosted ballistic RoF.,graphics/hullmods/kyeltziv_pirate_ass_loader.png
Infernium Pulse Effect,kyeltziv_infernium_pulse_effect,,,Pirate,,,,,TRUE,TRUE,0,0,0,0,org.amazigh.kyeltziv.hullmods.kyeltziv_infernium_pulse_effect,"HIDDEN HULLMOD, makes the system do the ""impulse dash""","HIDDEN HULLMOD, makes the system do the ""impulse dash""",graphics/hullmods/detach_never.png
,,,,,,,,,,,,,,,,,,
Flux-Phase Accelerator,kyeltziv_fluxPhase_a,,,Kyeltziv Technocracy,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.kyeltziv.hullmods.kyeltziv_fluxPhaseAccel,<Time for an ambush!>,Increases ballistic damage and velocity.,graphics/hullmods/kyeltziv_phase_accel.png
Hazardous Environment Suite,kyeltziv_hev_suit,,,Kyeltziv Technocracy,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.kyeltziv.hullmods.kyeltziv_hevSuit,<High-impact reactive armor activated.>,"Resitance to kinetic damage, and slow passive armour regen.",graphics/hullmods/kyeltziv_hev_suit.png
Flux-Phase Shunt,kyeltziv_flux_shunt,,,Kyeltziv Technocracy,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.kyeltziv.hullmods.kyeltziv_flux_shunt,"<Mean, green, and unseen.>","Soft to Hard conversion on system usage, better venting.",graphics/hullmods/kyeltziv_phase_shunt.png
