name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Harpoon MRM Launcher,rwc_harpoon_reload,0,,1000000,2500,,750,,15,30,,2,0.075,,HIGH_EXPLOSIVE,0,,0,8,1,,0,0,0,,,300,100,12.5,150,,,"DO_NOT_AIM, SYSTEM, SHOW_IN_CODEX, , DO_NOT_CONSERVE",,,,Single rail launcher for the ubiquitous Harpoon MRM.  Large magazines built into the hull ensure slow but reliable firepower in long engagements.,Finisher,Medium,Medium,,,,,,,TRUE,11.6125
Harpoon MRM Battery,rwc_harpoon_lrg,,,12000,2500,,750,,15,15,24,48,,,HIGH_EXPLOSIVE,0,,,15,8,0.25,0,0,0,,,300,100,12.5,150,,,DO_NOT_AIM,"missile17, strike12, missile_bp, merc, ind",,,Large rail launcher for the common Harpoon MRM.  ,Finisher,Medium,Medium,,,,,,,TRUE,
Flash HVM,rwc_flash,,,550,1500,,400,,10,40,3,6,,,HIGH_EXPLOSIVE,,,,3,2,0.25,0,0,0,,,500,50,6,125,,,DO_NOT_AIM,"missile7, strike2, base_bp, merc, ind",,,"High agility missile with a somewhat short range and a small warhead.   Great against smaller targets, like destroyers and frigates.",Anti Small Craft,Fast,Good,,,,,,,TRUE,
Flash HVM Pod,rwc_flash_m,,,1500,1500,,400,,10,20,12,24,,,HIGH_EXPLOSIVE,,,,8.75,6,0.25,0,0,0,,,500,50,6,125,,,DO_NOT_AIM,"missile11, strike5, missile_bp, merc, ind",,,"Multiple launcher for a high agility missile with a somewhat short range and a small warhead.   Great against smaller targets, like destroyers and frigates.",Anti Small Craft,Fast,Good,,,,,,,TRUE,
Flash HVM Battery,rwc_flash_l,,,5000,1500,,400,,10,5,22,120,,,HIGH_EXPLOSIVE,,,,1,1,,0,0,0,,,500,50,6,125,,,DO_NOT_AIM,"missile17, missile_bp, merc, ind",,,Rapid launcher system for high velocity missiles.  Has impressive sustained damage output but individual missiles are relatively weak.,General,Fast,Good,,,,,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positron Cannon,rwc_positron_m,,,8000,850,,300,,,10,12,,,,ENERGY,300,,0,1.75,1,0,0,0,,,,1200,,,150,,,,"energy13, he12, kinetic12, rare_bp, hist1t, merc",,,"Medium gun firing positron blasts. Relatively long range, high velocity, low flux efficiency.",General,,,,,,,,,,
Heavy Positron Cannon,rwc_positron,,,12000,1000,,500,,,10,26,,,,ENERGY,570,,0,3,1,0,0,0,,,,1200,,,150,,,,"energy20, LR, rare_bp, hist1t, merc",,,"Heavy gun firing positron blasts. Long range, high velocity, low flux efficiency.",General,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piledriver Heavy Railcannon,rwc_railcannon,,0.5,11000,1000,,450,,125,10,25,,,,KINETIC,500,,0.25,1,1,0,0,2,0.5,0.5,,1100,,,150,,,,"kinetic18, LR, remnant, rare_bp, hist1t, merc, ind",,,"Large electromagnetic cannon, highly effective against shields.  ",Anti Shield,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase Lance Battery,rwc_tribeam,1,,8000,600,3000,,,0,20,22,,,,ENERGY,,3000,0.25,0.5,1,6,,,,,3200,,,,,,,,"energy20, beam19, SR, rare_bp, merc, ind",,,,General,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgon DEM (Single),rwc_gorgon,1,,250,1000,,800,,15,30,5,1,,,ENERGY,0,,0,1,1,,0,0,0,0,,300,75,6,250,,,"DO_NOT_AIM, SYSTEM, STRIKE, USE_VS_FRIGATES","missile4, strike3, damage_special, damage_soft_flux",,,,Assault / Finisher,Medium,Good,,,"The missile fires a high-powered laser when it gets near the target, dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.",800,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,11.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vector Engine,rwc_vectorengine,,,,1,120,,,,45,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,Engine,,,,,,,,,,
Ascalon ,rwc_dragonslayer,,,,900,,600,,,10,,,,,HIGH_EXPLOSIVE,500,,,1.5,1,,0,10,1,3,,800,,,250,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,Massive twin-barrel cannon built into the Hrunting prototype.  Deals incredible damage against unshielded targets.,Anti Armor,,,,,,,,,,
