name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,vice_terminator_drone_forge,Core,High Tech,drone_strike,0,900000,500,5000,2500,600,0,1,0,0,0,0,0,1,NONE,,0,0,0,,,0,0,0,0,0,0,,0,,0,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, module_unselectable, module_no_status_bar",,0,,,,2060
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash,flash,,Remnant,,,400,60,350,,50,0,,170,240,200,40,120,30,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,116
Lux,lux,,Remnant,,,400,60,350,,50,0,,400,600,500,150,300,30,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,115
Helia,vice_helia,,Remnant,,,400,60,400,,50,0,,170,240,200,40,120,50,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,120
Sundog,vice_sundog,,Remnant,,,450,50,600,,50,0,,160,300,250,60,140,40,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,103
Gladius (LG),vice_gladius_lg,,Lion's Guard,flarelauncher_fighter,,500,75,200,,50,0,,300,400,300,150,300,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,109
Spatha,vice_spatha,,Sindrian Diktat,,,650,85,200,,50,0,,280,400,300,130,300,45,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,109.1
Estoc,vice_estoc,,Sindrian Diktat,,,500,75,500,,100,0,,180,225,200,60,120,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,113.1
Kite (LG),vice_kite_lg,,Lion's Guard,,,900,150,1400,,80,0,,140,150,75,45,85,120,OMNI,,150,0.5,0.8,,,4,4,,,,,,,,,,,,,,,,,,,,,,0.75,2,2,,217
Apotheosis,vice_disruptor_drone,,Starlight Cabal,emp,,750,125,2000,,120,0,,300,400,300,150,300,100,OMNI,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0.5,2,2,,205.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Station Drones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolide,vice_bolide,Hunter-Killer,Remnant,,,1600,250,3500,3750,600,20,,250,400,300,60,90,200,OMNI,,270,0,0.6,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,no_dealer,,0.4,2,2,,6
