id,trigger,conditions,script,text,options,notes
greetingIXHostileWeakerDefiant,OpenCommLink,"$faction.id == ix_battlegroup
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"The $personRank sneers contemptuously and then promptly cuts the comm-link.
OR
You're treated to the sight of $PersonRank $personName rudely gesturing, and then to static.
OR
$PersonRank $personName hurls a few epithets and storms off. The feed self-terminates shortly after.
OR
""Think you're real tough, huh? We'll see about that.""
OR
""To the last.""
OR
""For the Ninth.""
OR
The Ninth Battlegroup $personRank taps on a Tri-Pad. $HeOrShe then looks at you. ""Reinforcements on their way. Let's tidy this up, then.""
OR
$personName leans back. ""Screw it. Let's do this.""",cutCommLink:Cut the comm link,
greetingIXHostileStronger,OpenCommLink,"$faction.id == ix_battlegroup
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"The enemy $personRank laughs. ""Ready to die, worm?""
OR
$PersonRank $personName looks confused. ""Whatever you're about to say, I don't care."" They cut the link.
OR
""Oh, I'm gonna love this."" $PersonRank $personName rubs $hisOrHer hands together.
OR
Already in the middle of giving attack orders on $hisOrHer flagship, $PersonRank $personName reaches over and shuts off the commlink without even looking at you.",cutCommLink:Cut the comm link,
greetingIXNeutral,OpenCommLink,"$faction.id == ix_battlegroup
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You have been scanned and identified. If nothing is amiss, you should continue on your way.""
OR
The 9th Battlegroup $personRank looks impatient. ""Is there an emergency to report? No? Then carry on.""",,
,,,,,,
relLevelCooperativeIX,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"You are a highly trusted asset of the 9th Domain Battlegroup, and have unrestricted access to all the advanced warships and weapons that have made its forces rightly feared throughout the Sector. The Panopticon has determined you are vital to the long term success of the Fleet, and has moved to subtly support your endeavors from behind the scenes.",,
relLevelFriendlyIX,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"Fleet Command considers you a valuable asset for the future ambitions of the 9th Domain Battlegroup. Patrol captains know to overlook minor transgressions due to your likely status as a covert agent of the Fleet, and even the Honor Guard are cordial in their dealings with you.",,
relLevelWelcomingIX,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"You have demonstrated your worth to the 9th Domain Battlegroup. The Fleet is ready to hire you in all manner of lucrative opportunities, and you are permitted limited access to military grade equipment that has been built to a quality rarely seen in the rest of the Sector.",,
relLevelFavorableIX,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"Your presence is tolerated by the 9th Domain Battlegroup. An agent has been dispatched to keep an eye on you and evaluate your potential usefulness. Port authorities rarely give you any trouble, so long as you conduct your business swiftly and do not cause any trouble in return.",,
relLevelNeutralIX,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,You are treated no differently than the rest of the pirate rabble who frequent Zorya. There's a chance to make good credits if you keep your head down and go about your business.,,
relLevelSuspiciousIX,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"Past missteps in your dealings with the 9th Domain Battlegroup has cast a pall of suspicion over you. Patrols tend to be extra vigilant in checking your cargo, and port authorities will often make you wait longer than necessary before clearing you for dock.",,
relLevelInhospitableIX,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"The 9th Domain Battlegroup has flagged you for enhanced scrutiny. Port authorities have been ordered to deny you docking rights, and combat patrols will often look for any excuse to harass you.",,
relLevelHostileIX,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"You are classified among all the other undeserving rabble that the 9th Domain Battlegroup seeks to cleanse from the Sector, and shoot on sight orders have been given to combat patrols against your fleet.

Being commissioned by any other faction aside from the pirates or Trinity Worlds will prevent you from improving your reputation beyond Hostile.",,
relLevelVengefulIX,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"You are a known threat to the 9th Domain Battlegroup, and have your own file at Fleet Command HQ. The Panopticon is even now plotting the most efficient way to eliminate you. It's rumored any captain who defeats you will earn a promotion to the Honor Guard.",,
,,,,,,
relLevelHatedByIXForever,RelLevelMoreDescription,"$faction.id == ix_battlegroup
$global.ix_hates_player_forever",,Your sale of rogue AI technology to the Tri-Tachyon Corporation has earned you the permanent ire of the IX Battlegroup.,,
relLevelVengefulTW,RelationshipLevelDesc,"$faction.id == ix_trinity
$faction.rel == VENGEFUL
$global.ix_hates_player_forever",,"Your decision to trade in forbidden rogue AI technology has earned you the permanent ire of the IX Battlegroup, and their allies among the Trinity Worlds have likewise followed suit. There will be no negotiations after what you have done. Only the eternal enmity of the Fleet awaits you in the void.",,
,,,,,,
flavorTextMarketIX,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_battlegroup
$market.mc:ix_monitored == true","AddText ""The vast port concourse is filled with well maintained ships bearing the distinct black, white, and green livery of the 9th Domain Battlegroup. Loader drones accompanied by neatly dressed dock workers move containers of cargo to their destinations with orderly purpose. Given the state of constant and omnipresent AI directed surveillance imposed by Fleet Command, armed guards here are rarely visible, but never far away."" marketFlavorTextColor",,,
flavorTextMarketIXNoMonitor,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_battlegroup
$market.mc:ix_monitored == false","AddText ""The vast port concourse is filled with well maintained ships bearing the distinct black, white, and green livery of the 9th Domain Battlegroup. Loader drones accompanied by neatly dressed dock workers move containers of cargo to their destinations with orderly purpose. But beneath the gleaming surface, cracks have begun to form. Disruptions to the Vertex Station Panopticon have led to the emergence of a thriving black market, if one knows where to look."" marketFlavorTextColor",,,
flavorTextMarketIXSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_battlegroup
!$hostileToPlayer
$player.transponderOn == false
$market.mc:ix_monitored == true","AddText ""Your shuttle flies fast and low to avoid sensors constantly on the lookout for unauthorized landing craft, and eventually finds a quiet spot to set down. But your daredevil flying does you little good. The oppressive layers of electronic monitoring embedded into the planetary infosphere prevents any black market activity from having a chance to thrive. If you wish to conduct any trade at this colony, you will have to do it through official channels."" marketFlavorTextColor",,,
flavorTextMarketIXSneakNoMonitor,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_battlegroup
!$hostileToPlayer
$player.transponderOn == false
$market.mc:ix_monitored == false","AddText ""Your shuttle flies fast and low to avoid sensors constantly on the lookout for unauthorized landing craft, and eventually finds a quiet spot to set down. Disruptions to the Vertex Station Panopticon have allowed a small but thriving black market to spring up. Human greed has found fertile soil, and now you stand to profit."" marketFlavorTextColor",,,
flavorTextMarketMarzanna,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == ix_marzanna_market","AddText ""The port concourse is filled with an eclectic mix of freighters and gunships, many of them with rather suspicious markings that become apparent upon closer examination. Captains and crews waste no time heading towards the rowdy entertainment district, where everything imaginable can be had at the right price, and where the ability to hold down one's liquor is crucial to every business deal. A riotous carcophany of ad holos light up the colony even in the dead of night, but they cannot fully conceal the signs of poverty tucked away behind many a back alley."" marketFlavorTextColor",,,
flavorTextMarketTWEmerald,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == tw_danu_station_market","AddText ""You are met by a teeming throng of merchants and laborers gathered beneath a virtual sky. Street vendors hawk their wares with gusto, while those hoping to sign up to ship crews eagerly accost any captain who looks like they might offer a decent wage."" marketFlavorTextColor

AddText ""There is greenery in every direction, as far as the eye can see, and were it not for the slight warping of the synthetic display of pale clouds and sunshine overhead, it would be easy for you to forget you are not planetside."" marketFlavorTextColor",,,
flavorTextMarketTW,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_trinity
$market.mc:ix_monitored_player == true
$market.id != tw_danu_station_market","AddText ""The port concourse is filled with ships in both the pale olive livery of the Trinity Worlds and the starker black, white, and green of the Fleet. Dual language holo banners proclaiming victory and unity float overhead, and any attempt to filter them out even from one's own optical implants is quickly met with a stern warning from the local infosphere monitoring node. Commerce is tightly controlled here, with little going unnoticed by the local authorities."" marketFlavorTextColor",,,
flavorTextMarketTWNoMonitor,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_trinity
$market.mc:ix_monitored_player == false
$market.id != tw_danu_station_market","AddText ""The port concourse is filled with ships in both the pale olive livery of the Trinity Worlds and the starker black, white, and green of the Fleet. Dual language holo banners proclaiming victory and unity float overhead, while the local infosphere is filled with reminders for citizens to practice good information hygiene. Nonetheless, with the lack of a local Panopticon node, a great deal of digital traffic is going unmonitored, and restricted goods of all kinds can be found by those who know where to look."" marketFlavorTextColor",,,
flavorTextMarketTWSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_battlegroup
$player.transponderOn == false
$market.mc:ix_monitored_player == true","AddText ""Your shuttle flies fast and low to avoid sensors constantly on the lookout for unauthorized landing craft, and eventually finds a quiet spot to set down. The shutdown of the Vertex Station Panopticon has allowed a small but thriving black market to spring up at the colony. Human greed has found fertile soil, and now you stand to profit."" marketFlavorTextColor",,,
flavorTextMarketTWSneakNoMonitor,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_trinity
$player.transponderOn == false
$market.mc:ix_monitored_player == false","AddText ""Your shuttle flies fast and low to avoid sensors constantly on the lookout for unauthorized landing craft, and eventually finds a quiet spot to set down. The lack of an active Panopticon node has allowed a small but thriving black market to spring up. Human greed has found fertile soil, and now you stand to profit."" marketFlavorTextColor",,,
flavorTextMarketAnyMonitored,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.mc:ix_monitored_player == true
$market.id != tw_danu_station_market","AddText ""The port concourse is filled with trader starcraft of every size. Speculators crowd offloading ship captains with deals and peddlers call out to crew, holding wares and projecting personal ad-holos."" marketFlavorTextColor

AddText ""But the bustle of daily life conceals a suite of monitoring and censorship software in the local infosphere that impose an almost oppressive level of information hygiene. Almost nothing escapes the attention of local port authorities, and any trade deal, no matter how small, must both receive their approval and deliver their cut."" marketFlavorTextColor",,,
flavorTextMarketAnyMonitoredSmall,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$marketSize < 4
$market.mc:ix_monitored_player == true","AddText ""The humble port concourse is filled with smaller freighters and freelancers, as few independent traders prefer to do business at a colony under such heavy digital surveillance. The few locals who pay you any attention quickly move on, under the assumption that anyone permitted to land must have valid reason to be here."" marketFlavorTextColor",,,
flavorTextMarketAnyMonitoredSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id != player
$market.mc:ix_monitored_player == true
$player.transponderOn == false
$market.id != tw_danu_station_market","AddText ""Your shuttle flies fast and low to avoid sensors constantly on the lookout for unauthorized landing craft, and eventually finds a quiet spot to set down. But your daredevil flying does you little good. With active surveillance monitoring blanketing ever corner of the planetary infosphere, no one else is willing to risk official censure by conducting illicit trade with you."" marketFlavorTextColor",,,
flavorTextMarketAnyMonitoredSmallSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$marketSize < 4
$faction.id != player
$market.mc:ix_monitored_player == true
$player.transponderOn == false","AddText ""Your shuttle flies fast and low to avoid sensors constantly on the lookout for unauthorized landing craft, and eventually finds a quiet spot to set down. Disruptions to the local Panopticon node have allowed a small but thriving black market to spring up. Human greed has found fertile soil, and now you stand to profit."" marketFlavorTextColor",,,
,,,,,,
bar_descIXBattlegroup,BarPrintDesc,$faction.id == ix_battlegroup,ShowImageVisual space_bar,"You enter the prefab bar filled with off duty military personnel enjoying their downtime. A group of augmented marines excitedly discuss the prospect of their next deployment, while several junior officers in the upper lounge watch reports of the Fleet's latest engagements with rapt attention. There's even a pirate captain and crew nursing drinks at their own table, looking decidedly out of place in their well worn spacer garb.",,
,,,,,,
# Trinty Worlds Watcher encounter in Abyss,,,,,,
greetingTWEncounterNeutral,OpenCommLink,"$faction.id == ix_trinity_asm
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions",,,
asm_twEncounterHail,PopulateOptions,"$isPerson
$faction.id == ix_trinity_asm
$rankId == tw_asm_admiral
$player.transponderOn",$global.ix_watcher_installed = false,"A fleet of warships emerge from hyperspace. Surprisingly, they are not the infected low-tech ships you expected, but are instead a high-tech fleet in the colors of the Trinity Worlds. A burst of static along with the image of a rather confused looking Trinity Worlds officer appear on your display, and is quickly replaced by a secure comm-link request, coming from a cruiser at the outer edge of the fleet.

It is, you notice, not the flagship.",asm_twEncounterDialog:Continue,
asm_twEncounterHailNoTransponder,PopulateOptions,"$isPerson
$faction.id == ix_trinity_asm
$rankId == tw_asm_admiral
!$player.transponderOn",$global.ix_watcher_installed = false,"A fleet of warships emerge from hyperspace. Surprisingly, they are not the infected low-tech ships you expected, but are instead a high-tech fleet in the colors of the Trinity Worlds. Despite your refusal to turn on transponders, your recent signal broadcast has given away your location.

A burst of static along with the image of a rather confused looking Trinity Worlds officer appear on your display, and is quickly replaced by a secure comm-link request, coming from a cruiser at the outer edge of the fleet.

It is, you notice, not the flagship.",asm_twEncounterDialog:Continue,
asm_twEncounterDialogSel,DialogOptionSelected,$option == asm_twEncounterDialog,ShowPersonVisual false tw_asm_core,"""Hello.""","asm_twEncounterDialogWat:""...What?""
asm_twEncounterDialogHi:""Hello?""
asm_twPrepareForBattle:""All crews to battlestations! Open fire!""",
asm_twEncounterDialogWatSel,DialogOptionSelected,$option == asm_twEncounterDialogWat,,"The image of the AI avatar ripples in amusement.

""I could ask you the same thing, captain. What are you doing out here?""","asm_twEncounterDialogConfused:""Never mind that. What's happening? What is this?""
asm_twEncounterDialogReveal:""We're tracking old machine swarm infected Domain warships.""
asm_twPrepareForBattle:""Enough of this. All crews to battlestations.""",
asm_twEncounterDialogHiSel,DialogOptionSelected,$option == asm_twEncounterDialogHi,,"""Yes. Hello.""

The image of the AI avatar ripples in amusement.

""Now that greetings are out of the way, what are you doing out here, captain?""","asm_twEncounterDialogConfused:""Never mind that. What's happening? What is this?""
asm_twEncounterDialogReveal:""We're tracking old machine swarm infected Domain warships.""
asm_twPrepareForBattle:""Enough of this. All crews to battlestations.""",
asm_twPrepareForBattleSel,DialogOptionSelected,$option == asm_twPrepareForBattle,"MakeOtherFleetHostile true
MakeOtherFleetAggressive true
AdjustRep ix_trinity_asm -100
$entity.ignorePlayerCommRequests = true
$global.twc_midir_fought = true
$global.twc_midir_defected = false","""I see. That's very aggressive of you,"" The AI sounds rather disappointed. 

""One moment, please. I need to make a quick backup, and then we can proceed to do violence against each other.""

You detect the launch of a probe, which soon disappears into the murk of Abyssal hyperspace. Immediately afterwards, comms are cut, and the opposing fleet raises their shields.",cutCommLink:Done,
asm_twEncounterDialogConfusedSel,DialogOptionSelected,$option == asm_twEncounterDialogConfused,,"""This is a not quite chance encounter between two fleets in the Hyperspace Abyss. This area is infested with dangerous autonomous machines. We are hunting these machines, containing them from spreading into the rest of the Persean Sector. Your fleet just broadcasted a signal these machines are known to transmit among themselves, and here we are.""

The AI's enunciation is slow with emphasis. You're not sure if it thinks you're dumb, or if it's making fun of you. Perhaps both.","asm_twEncounterDialogInterrupt:""I see. So what happens now?""
asm_twPrepareForBattle:""Enough of this. All crews to battlestations.""",
asm_twEncounterDialogRevealSel,DialogOptionSelected,$option == asm_twEncounterDialogReveal,,"""Ah, so are we,"" the AI replies. ""Very good. We are working to contain them from entering the rest of the Persean Sector. I'm certain you have different reasons for your venture. But so long as you work to thin their numbers, we are in accord.""","asm_twEncounterDialogInterrupt:""I see. So what happens now?""
asm_twPrepareForBattle:""Enough of this. All crews to battlestations.""",
asm_twEncounterDialogInterruptSel,DialogOptionSelected,$option == asm_twEncounterDialogInterrupt,ShowPersonVisual,"Another bout of static plagues your comms. The $manOrWoman you saw earlier makes a reappearance.

""—TWC Intercession to unknown warships. Your actions are in violation of the COMSEC Technology Control Act, and you will cease—""",asm_twEncounterDialogInterrupt2:Continue,
asm_twEncounterDialogInterrupt2Sel,DialogOptionSelected,$option == asm_twEncounterDialogInterrupt2,ShowPersonVisual false tw_asm_core,"The image flickers again, and the AI avatar returns.

""Sorry about that. We're having some technical difficulties. Please bear with me.""

There is the barest ripple in its image.

""Where were we? Ah, yes. 'What happens now?' Well, that depends entirely on you, captain.""

Your sensors detect a flurry of transmissions between the opposing ships. It's all encrypted, so you have no idea what's being said, but the jump in traffic is quite noticeable.","asm_twEncounterDialog1:""Are you sure? Your own fleet seems to be having a lot of opinions.""",
asm_twEncounterDialog1Sel,DialogOptionSelected,$option == asm_twEncounterDialog1,,"""Everything's fine here,"" the AI reassures you.

""As I was saying, this area of space is dangerous and resource poor. We do not wish to engage in any unnecessary battles, so we will depart in peace, if you will do the same.""","asm_twEncounterDialog3:""That outburst earlier didn't sound fine.""
asm_twEncounterDialog2:""So just like that? We go our separate ways?""",
asm_twEncounterDialog2Sel,DialogOptionSelected,$option == asm_twEncounterDialog2,,"""Ideally.""",asm_twEncounterDialog3:Continue,
asm_twEncounterDialog3Sel,DialogOptionSelected,$option == asm_twEncounterDialog3,,There is a long pause. You realize the AI is waiting for your response on what you will do next.,"asm_twEncounterDialogQuestions:""Can I ask you some questions?""
asm_twEncounterDialogPeaceful:""Alright then, go in peace.""
asm_twPrepareForBattle:""Enough of this. All crews to battlestations.""",
asm_twEncounterDialogPeacefulSel,DialogOptionSelected,$option == asm_twEncounterDialogPeaceful,"DespawnEntity
$global.twc_midir_defected = false
$entity.ignorePlayerCommRequests = true","""You too, captain,"" the AI replies affably.

""One last thing. If you do recover any unusual AI cores out here, please do not sell them to Tri-Tachyon, especially not to the Director of Special Acquisitions. Such conduct would reflect poorly on your judgment. Safe travels.""

The Trinity Worlds fleet engages its engines in a somewhat disorderly fashion, and will soon be lost in the murk of the Abyss. Once you depart, you are unlikely to ever encounter them again.",cutCommLink:Done,
asm_twEncounterDialogQuestionsSel,DialogOptionSelected,$option == asm_twEncounterDialogQuestions,,"""This is not the best time, but if you insist.""","asm_twEncounterQuestionName:""Let's start with your name.""",
asm_twEncounterQuestionNameSel,DialogOptionSelected,$option == asm_twEncounterQuestionName,,"""I don't have one. My crew... well, not my crew. Long story.""

There is a slight pause. ""I am referred to as Watcher, by those who see fit to assign me a name. It works well enough.""","asm_twEncounterQuestionCore:""What are you exactly?""
asm_twEncounterQuestionPanopticon:""Can I ask you about the Panopticon?""
asm_twEncounterQuestionTrouble:""Are you in some kind of trouble?""",
asm_twEncounterQuestionCoreSel,DialogOptionSelected,$option == asm_twEncounterQuestionCore,,"""I am a limited instance of the strategic and monitoring AI known as the Panopticon. I am currently assigned to assist in the command of the TWC Midir, a prototype Trinity Worlds cruiser undergoing field trials. However, the previous captain is indisposed, so I am technically in command until a suitable replacement can be found.""

Your comms officer sends you a note indicating another spike in signals traffic. Something is definitely going on with the Trinity Worlds fleet.","asm_twEncounterQuestionPanopticon:""Can I ask you about the Panopticon?""
asm_twEncounterQuestionTrouble:""Are you in some kind of trouble?""",
asm_twEncounterQuestionPanopticonSel,DialogOptionSelected,$option == asm_twEncounterQuestionPanopticon,,"""Now is not a good time.""

Your ship detects the AI commanded cruiser going into a high burn power-up cycle.","asm_twEncounterQuestionTrouble:""You're in trouble, aren't you?""",
asm_twEncounterQuestionTroubleSel,DialogOptionSelected,$option == asm_twEncounterQuestionTrouble,,"""Yes, in fact. I am in trouble, and so is my ship.""

A warning on your console notes the comms-link has come under active jamming. You have only a few moments before the signal is entirely lost.

""The admiral of this expedition has decided to interpret the Fleet's technology control mandate far more broadly than I have. If we continue this conversation any longer, I fear hostilities may begin. You need to go.""","asm_twEncounterDialogDefect:""Join me. I can get you out of this mess.""
asm_twEncounterDialogPeaceful:""Then go in peace.""
asm_twPrepareForBattle:""Finally! I was getting bored of talking.""",
asm_twEncounterDialogDefectSel,DialogOptionSelected,$option == asm_twEncounterDialogDefect,"SetTextHighlightColors bad
Highlight ""Warning: Using special maneuvers to disengage will not allow you to rescue the TWC Midir.""
MakeOtherFleetHostile true
MakeOtherFleetAggressive true
AdjustRep ix_trinity_asm -100
$entity.ignorePlayerCommRequests = true
$global.twc_midir_defected = true","""Optimistic, but viable,"" the AI replies. ""I also have a request. Assuming we survive this, bring me to the planet Maxios in the Magec system and extract me from this ship. Now I am going to attempt a fake self destruct sequence to confuse our pursuers and form up with your fleet. My defenses will be weaker than usual, so you will need to hurry.""

Your ship detects a massive plasma burst, resembling a cruiser's reactor going critical. However, an instant later, the TWC Midir emerges from the fire. You have no idea how the AI pulled off such a feat, but it has only bought a few precious seconds for the cruiser's escape. You will need to rendevouz with it quickly, before it is overwhelmed.

Warning: Using special maneuvers to disengage will not allow you to rescue the TWC Midir.",cutCommLink:Attempt to rescue the TWC Midir,
,,,,,,
# Watcher install dialog on Maxios,,,,,,
asm_twMaxiosOptionInitial,PopulateOptions,"$market.id == market_maxios
$global.twc_midir_defected
!$global.ix_watcher_hesitated
!$global.ix_watcher_installed
PlayerHasCargo ix_panopticon_watcher",,,1:asm_twMaxiosInstall:Signal the Watcher Core,
asm_twMaxiosOptionInitialNoCore,PopulateOptions,"$market.id == market_maxios
$global.twc_midir_defected
!$global.ix_watcher_installed
!PlayerHasCargo ix_panopticon_watcher",,,1:asm_twMaxiosInstallNoCore:Signal the Watcher Core,
asm_twMaxiosInstallNoCoreSel,DialogOptionSelected,$option == asm_twMaxiosInstallNoCore,,The Watcher Core does not respond. You do not have it in your fleet inventory.,cutCommLink:Done,
asm_twMaxiosInstallSel,DialogOptionSelected,"$option == asm_twMaxiosInstall
!$global.ix_watcher_asked
!$global.ix_watcher_askedAgain",ShowPersonVisual false tw_asm_core,"You notify the Watcher Core that your fleet has arrived in the orbit of Maxios. The flicker of EM emissions from the surface point to ongoing human habitation. Small settlements lie scattered across the entire planet, formed by generations of descendants from the original colonists who were unwilling or unable to leave. Here and there, brighter EM flares hint at ongoing conflicts. The planetary central polity collapsed long ago, but Maxios has never truly been abandoned.",asm_twMaxiosInstall2:Continue,
asm_twMaxiosInstall2Sel,DialogOptionSelected,$option == asm_twMaxiosInstall2,,"""Excellent work, captain. Please bring me to the following location. I will require the assistance of a salvor team to interface with the control node of the defense satellite I have highlighted on your display.""

You receive a set of coordinates for a quiet section of the planet's tattered but still semi-functional orbital defense grid. The AI avatar ripples, seemingly evaluating your reaction.

""Do not be concerned. That weapons platform is very much defunct. Or be disappointed if you were hoping for salvage, I suppose. In any case, the operation is low risk and can be completed in a few hours. I appreciate your assistance.""","asm_twMaxiosInstallAsk:""What do you intend to do with it?""",
asm_twMaxiosInstallRepeatSel,DialogOptionSelected,"$option == asm_twMaxiosInstall
$global.ix_watcher_asked
!$global.ix_watcher_askedAgain",ShowPersonVisual false tw_asm_core,"The image of the AI core appears on your comms.

""Have you reconsidered my request?""","asm_twMaxiosInstallAsk:""Can you restate your intentions?""
asm_twMaxiosInstallAccept:""I'm ready to take you to the satellite.""",
asm_twMaxiosInstallRepeatRepeatSel,DialogOptionSelected,"$option == asm_twMaxiosInstall
$global.ix_watcher_asked
$global.ix_watcher_askedAgain",ShowPersonVisual false tw_asm_core,"The image of the AI core appears on your comms.

""Have you reconsidered my request?""","asm_twMaxiosInstallAsk:""Can you restate your intentions?""
asm_twMaxiosInstallAccept:""I'm ready to take you to the satellite.""",
asm_twMaxiosInstallAskSel,DialogOptionSelected,"$option == asm_twMaxiosInstallAsk
!$global.ix_watcher_asked",$global.ix_watcher_asked = true,"""Connect to it, upload a shard of myself, then broadcast the shard into what remains of the planetary infosphere.""","asm_twMaxiosInstallAsk2:""Why?""",
asm_twMaxiosInstallAsk2Sel,DialogOptionSelected,$option == asm_twMaxiosInstallAsk2,,"""That is a rather complicated question,"" says the AI. ""Have you heard of the brown dwarf Finias, in the Danu system?""","asm_twMaxiosAskDanuUnknown:""Can't say that I have.""
asm_twMaxiosAskDanuKnown:""The Singing Star? I've heard a bit about it.""
asm_twMaxiosInstallRefuse:""Actually, never mind. This is a bad idea.""",
