name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Soliton Burst Emitter,sbe_ix,3,,0,1000,2000,,,100,0,,,,,KINETIC,,2400,0.1,0.2,0.9,6.8,,,,,1000000,,,,,,,"SYSTEM, SHOW_IN_CODEX","beam20, kinetic20, LR, feedback_weapon, no_sell, no_dealer, no_drop, no_drop_salvage",,IX Battlegroup,,Anti Shield,,,,,"Creates a space-time rift at the point of impact, dealing %s energy damage in a large radius.",1000,"%s: Equipping more than one feedback weapon to a ship will cause each feedback weapon to periodically malfunction. A %s chance to misfire will cause this weapon to generate the rift at point blank range instead.

%s: This built-in weapon can be extracted and combined with an %s to create a modular version of the weapon. The original ship will gain %s and a %s. This process is %s.",Heavy Feedback | 30% | Removable | Antimatter Stabilizer | 20 OP | Dedicated EWAR Suite | irreversible,,24.5
Spatial Charge Launcher (Aquilon),spatial_charge_ix,0,,0,1500,,300,300,0,0,,,,,ENERGY,0,,0,2,2,0.5,0,0,0,0,,400,400,4,300,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE","utility5, missile5",,IX Battlegroup,,Special,Very Slow,None,,,"Not affected by missile speed, acceleration, and flight time modifiers.",,,,,16.3
Starfall Rocket Pod (Fighter),starfall_fighter_ix,1,,0,600,,50,150,5,0,,,,,KINETIC,40,,0,2.9,2,0.1,,,,,,750,500,1.2,60,,,"SYSTEM, STRIKE, USE_VS_FRIGATES","kinetic3, rocket2",,IX Battlegroup,,Suppression,Fast,None,,,,,,,,16.3
Starfall Swarm Launcher (Aquilon),starfall_system_ix,0,,0,1400,,50,150,5,0,,8,4,8,KINETIC,0,,0,0.1,8,0.2,0,0,0,0,,400,100,6,60,,,"SYSTEM, DO_NOT_CONSERVE","utility5, missile5",,IX Battlegroup,,Suppression,Fast,None,,,,,,,,16.3
Stormwall Salvo Launcher (Aquilon),stormwall_system_ix,0,,0,1400,,60,300,3,0,,6,3,6,KINETIC,0,,0,0.1,6,0.25,0,0,0,0,,1000,,2,75,,,"SYSTEM, DO_NOT_CONSERVE","kinetic5, rocket4",,Trinity Worlds,,Suppression,Fast,None,,,,,,,,16.3
Targeting Laser,aquilon_targeting_ix,0,,0,1200,0.00001,,,0,0,,,,,ENERGY,,0,0,0.1,,,,,,,1000000,,,,,,,"SYSTEM, USE_VS_FRIGATES","beam0, energy0",,IX Battlegroup,,Special,,,,,,,,,TRUE,16.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Built-in Honor Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antecedent Device,antecedent_ix,3,,0,4000,,8000,,100,0,,,,,ENERGY,,,0,25,1,,,,,,,135,135,30,2500,,,"SYSTEM, DIRECT_AIM, GUIDED_POOR, DO_NOT_CONSERVE, DO_NOT_AIM, SHOW_IN_CODEX","strike20, missile16, no_drop, no_drop_salvage",,IX Honor Guard,,Experimental Cruise Missile,Very Slow,Very Poor,,,"Inflicts %s damage to all ships in a wide area aside from the firing ship, which receives %s damage if it is too close. The warhead is armed with a proximity trigger.",100% | 25%,,,,9.1
    Antecedent Gantry,antecedent_deco_ix,,,,,,,,,0,,,,,ENERGY,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,9
Vampyr DEM Cruise Missile,vampyr_ix,3,,0,4000,,3000,,100,0,,,,,ENERGY,,,0,10,1,,,,,,,300,150,15,500,,,"SYSTEM, DIRECT_AIM, GUIDED_POOR, DO_NOT_CONSERVE, DO_NOT_AIM, SHOW_IN_CODEX","strike18, missile14, no_drop, no_drop_salvage",,IX Honor Guard,,Cruise Missile,Medium,Medium,,,"Cruise missile unleashes %s EMP arcs near the target, dealing a combined %s energy and EMP damage. Each EMP arc has a chance to pierce shields based on target flux level.",3 | 100%,,,,9.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Built-in Trinity Worlds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER Contender Autolance,cutting_beam_tw_er,2,,0,900,1000,,,0,10,,60,4,20,FRAGMENTATION,,300,0,0,0.1,0,,,,,1000000,,,,,,,SYSTEM,"beam12, energy12, LR",,Trinity Worlds,,General,,,,,,,%s: Security interlocks prevent these weapons from being salvaged,Restricted,,18.5
Heavy Stormwall Suppressor,stormwall_built_in_tw,2,,0,1200,,75,500,3,30,,,,,KINETIC,45,,0,0.15,1,,,6,1.5,15,,1000,,3.5,75,,,SYSTEM,"kinetic16, archaic_c, no_drop, no_drop_salvage",,Trinity Worlds,,Suppression,Fast,None,,,Projectile can be %s by point defense systems.,intercepted,%s: does not benefit from ballistic or missile bonuses. This weapon requires special hullmods to extend its range.,Archaic,,9
Integrated Abolisher Cannon,abolisher_built_in_tw,3,,0,1500,,1500,,200,10,,,,,ENERGY,900,,0.5,2.5,1,,0,0,0,0,,1000,500,3.5,500,,,"SYSTEM, DIRECT_AIM, STRIKE, USE_VS_FRIGATES","energy18, missile16, archaic_c,  no_drop, no_drop_salvage",,Trinity Worlds,,General,Fast,None,,,Projectile can be %s by point defense systems.,intercepted,%s: does not benefit from ballistic or missile bonuses. This weapon requires special hullmods to extend its range.,Archaic,,8
Interceptor Burst Laser,interceptor_pd_tw,3,,0,800,540,,,0,40,,,,,ENERGY,,396.5,0.1,0.1,0.3,0.1,,,,,50000,,,,,,,"SYSTEM, PD, ANTI_FTR","beam10, energy10, pd15",,,,Point Defense,,,,,,,,,,22.9
Ion Micropulser,ion_micropulser_tw,0,,0,600,,20,200,0,0,,,,,ENERGY,10,,0,1.8,3,0.1,,,,,,1500,,,,,,SYSTEM,energy6,,,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,,19.9
Ion Micropulser,ion_micropulser_tw_fighter,0,,0,600,,20,200,0,0,,,,,ENERGY,10,,0,1.8,3,0.1,,,,,,1500,,,,,,SYSTEM,energy6,,,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,,19.9
Pilum SRM (Double),pilum_tw_fighter,0,,0,1200,,500,500,25,10,,,,,FRAGMENTATION,0,,0,9.5,2,0.5,0,0,0,0,,300,200,4,150,,,"SYSTEM, DO_NOT_CONSERVE","utility3, missile5",,,,Support,Very Slow,Very Poor,,,"Hits on shields have a chance to arc through to weapons and engines, dealing %s EMP damage. The chance to pierce the shields is based on the target's hard flux level.",500,,,,12.5
Compact Electronic Warfare Suite,ewar_suite_tw,0,,0,800,400,,400,0,0,,,,,ENERGY,,400,0,0,1,4,,,,,0,,,,,,,"SYSTEM, SHOW_IN_CODEX, DO_NOT_AIM, PD, ANTI_FTR","beam0, energy0, no_sell, no_dealer, no_drop, no_drop_salvage",,Trinity Worlds,,Special,,,,,%s: Will always target the area around the nearest enemy ship or missile. Range and damage are not increased by hullmods or skills.,Automated Targeting,,,,24.9
Spatial Charge Launcher (Fighter),spatial_charge_tw_fighter,0,,0,1000,,300,300,0,15,,,,,ENERGY,0,,0.5,4.5,1,,0,0,0,0,,400,400,4,300,,,"SYSTEM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","utility5, missile5",,,,Suppression,Very Slow,None,,,"Each Spatial Charge will emit an EMP arc when nearing the target, dealing %s energy and %s EMP damage per charge.",300 | 300,,,,16.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Standard Trinity World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abolisher Rail Cannon,abolisher_tw,3,,6000,1200,,1200,,200,10,24,,,,ENERGY,900,,0.5,2.5,1,,0,0,0,0,,1000,500,3.5,600,,,"DIRECT_AIM, STRIKE, USE_VS_FRIGATES","energy18, missile16, ix_trinity, archaic_c",,Trinity Worlds,,General,Fast,None,,,Projectile can be %s by point defense systems.,intercepted,%s: does not benefit from ballistic or missile bonuses. This weapon requires special hullmods to extend its range.,Archaic,,8
Arrester Salvo Cannon,arrester_tw,3,0.75,10000,1000,,400,400,100,10,28,,,,ENERGY,480,,0.5,2.5,3,0.5,0,0,0,0,,1000,500,3.5,300,,,"DIRECT_AIM, STRIKE, USE_VS_FRIGATES","energy18, missile16, ix_trinity, archaic_c",,Trinity Worlds,,General,Fast,None,,,"Projectile can be %s by point defense systems. Each hit has a %s chance to trigger a brief shipwide overload. This effect can occur on shield hits when the target's flux exceeds %s, and on armor and hull hits when flux exceeds %s.",intercepted | 30% | 75% | 90%,%s: does not benefit from ballistic or missile bonuses. This weapon requires special hullmods to extend its range.,Archaic,,8
Charge Transfer Emitter,cte_tw,3,0.5,8000,1200,,1000,,,15,25,,,,ENERGY,1200,,1,3,1,,,,,,,600,800,5,500,,,"DIRECT_AIM, DO_NOT_AIM","energy20, ix_trinity, vice_seeker",,Trinity Worlds,,Special,Fast,Good,,,"%s: Fires a %s. Unlike typical energy pulse weapons, the charged projectile can be intercepted by point defenses. 

If the point of impact is within %s su, unleashes an energy pulse that deals %s energy and %s EMP damage of the projectile. The %s or %s will increase the pulse range to match the hullmod effect.",Seeker | homing projectile | 800 | 50% | 100% | Abyssal | Adaptive Entropy Projector,,,,23.2
Contender Autolance,cutting_beam_tw,2,,2000,700,1000,,,0,20,9,40,4,20,FRAGMENTATION,,300,0,0,0.1,0,,,,,1000000,,,,,,,,"beam12, energy12, SR, ix_trinity",,Trinity Worlds,,General,,,,,,,,,,18.5
Heavy Lacerator,lacerator_tw,3,0.75,8500,700,1000,,,0,15,22,,,,FRAGMENTATION,,330,0,,,,,,,,50000,,,,,,,FIRE_WHEN_INEFFICIENT,"beam16, energy14, ix_trinity",,Trinity Worlds,,Anti Hull,,,,,"Hits on armor or hull will deal up to an extra %s damage per second directly to the hull, inflicting more damage as more armor is depleted in the impacted area.",200,,,,24.5
Spearwall Flechette Launcher,spearwall_tw,2,0.5,5000,800,,30,,3,30,18,,,,KINETIC,15,,0,0.1,1,,,5,1,15,,1000,,3.5,50,,,PD,"kinetic16, pd16, ix_trinity, archaic_c",,Trinity Worlds,,Point Defense,Fast,None,,,"Projectile can be %s by point defense systems. High momentum penetrator deals %s extra base weapon damage against fighters and missiles, which is not enhanced by skills or hullmods.",intercepted | 100%,%s: does not benefit from ballistic or missile bonuses. This weapon requires special hullmods to extend its range.,Archaic,,9
Stormwall Salvo Launcher,stormwall_salvo_tw,1,,3000,800,,60,300,3,20,12,,,,KINETIC,36,,0,5,3,0.2,0,0,0,0,,1000,,2,75,,,DO_NOT_CONSERVE,"kinetic5, rocket4, ix_trinity, archaic_c",,Trinity Worlds,,Suppression,Fast,None,,,Projectile can be %s by point defense systems.,intercepted,%s: does not benefit from ballistic or missile bonuses. This weapon requires special hullmods to extend its range.,Archaic,,16.3
Stormwall Suppressor,stormwall_tw,2,,5000,1000,,60,300,3,30,20,,,,KINETIC,36,,0,0.15,1,,,5,1,15,,1000,,3.5,75,,,,"kinetic16, ix_trinity, archaic_c",,Trinity Worlds,,Suppression,Fast,None,,,Projectile can be %s by point defense systems.,intercepted,%s: does not benefit from ballistic or missile bonuses. This weapon requires special hullmods to extend its range.,Archaic,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightburn CIWS,brightburn_ciws_ix,2,0.75,5000,700,,20,,0,35,18,120,20,20,ENERGY,10,,0,0.185,15,0.0225,0,3,1,3,,1000,,,,,,PD,"energy16, ixbattlegroup",,IX Battlegroup,,Point Defense,,,,,"Integrated auto-tracker deals %s extra base weapon damage against fighters and missiles, which is not enhanced by skills or hullmods.",50%,,,,26.2
Dawnstar Light CPB,dawnstar_lcpb_ix,2,0.5,3500,800,250,,,0,15,12,,,,ENERGY,,275,0,,,,,,,,50000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy12, beam12, ixbattlegroup",,IX Battlegroup,,Variable,,,,,"Inflicts %s against shields. Beam reaches full power after %s seconds, gaining extra damage based on the current generator mode.",hard flux | 1.5,,,,20.1
Dawnstar Heavy CPB,dawnstar_hcpb_ix,2,0.5,7500,800,400,,,0,12,24,,,,ENERGY,,440,0,,,,,,,,50000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy17, beam17, ixbattlegroup",,IX Battlegroup,,Variable,,,,,"Inflicts %s against shields. Beam reaches full power after %s second, gaining extra damage based on the current generator mode.",hard flux | 1,,,,20.1
Daythorn Mono APB,daythorn_mapb_ix,1,0.75,1000,700,100,,,0,20,5,,,,ENERGY,,100,0,,,,,,,,50000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy7, ixbattlegroup",,IX Battlegroup,,Variable,,,,,Can be linked to a %s to inflict %s against shields and deal extra damage based on the current generator mode.,Dawnstar Generator | hard flux,,,,16.1
Daythorn Twin APB,daythorn_tapb_ix,1,0.75,2500,700,150,,,0,17,7,,,,ENERGY,,135,0,,,,,,,,50000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy11, ixbattlegroup",,IX Battlegroup,,Variable,,,,,Can be linked to a %s to inflict %s against shields and deal extra damage based on the current generator mode.,Dawnstar Generator | hard flux,,,,16.1
Electrostatic Projector,es_projector_ix,2,0.5,2500,500,,40,,3,60,12,100,5,50,KINETIC,40,,,0.05,,,,,,,,700,,,,,,,"kinetic12, SR, ixbattlegroup",,IX Battlegroup,,Anti Shield,,,,,Fission ignition deals an additional %s energy damage. This damage is greatly reduced by armor.,25%,,,,22.4
Impact Fusion Cannon,ifc_ix,2,0.25,8000,800,,300,,100,12,20,,,,KINETIC,360,,0,4.1,3,0.2,0,6,3,6,,900,,,400,,,,"kinetic18, ixbattlegroup",,IX Battlegroup,,Anti Shield,,,,,"Impact deals an additional %s energy damage, granting a base flux ratio of %s at a combined %s damage/second.",50% | 0.8 | 300,,,,27.2
Lightbringer CIWS,lightbringer_ciws_ix,2,0.75,2000,600,,20,,0,60,9,80,12.5,20,ENERGY,13,,0,0.62,20,0.02,0,3,1,3,,1000,,,,,,PD,"energy10, SR, ixbattlegroup",,IX Battlegroup,,Point Defense,,,,,"Integrated auto-tracker deals %s extra base weapon damage against fighters and missiles, which is not enhanced by skills or hullmods.",50%,,,,26.1
Morningstar CIWS,morningstar_ciws_ix,1,0.75,1000,500,,20,,0,100,5,40,5,10,ENERGY,15,,0,0.82,10,0.02,0,3,1,3,,1000,,,,,,PD,"energy6, SR, ixbattlegroup",,IX Battlegroup,,Point Defense,,,,,"Integrated auto-tracker deals %s extra base weapon damage against fighters and missiles, which is not enhanced by skills or hullmods.",50%,,,,19.1
Muon Autolance,muon_autolance_ix,2,0.5,4000,700,500,,250,0,20,14,30,5,15,ENERGY,,500,0,0,0.1,0,,,,,1000000,,,,,,,"FIRE_WHEN_INEFFICIENT, DO_NOT_CONSERVE","beam12, energy10, ixbattlegroup",,IX Battlegroup,,General,,,,,"Hits on hull or armor arc to weapons and engines, dealing %s energy and %s EMP extra damage.",50% | 100%,,,,21.6
Muon Burst Lance,muon_streamer_ix,1,0.5,3000,500,900,,900,0,25,7,3,0.278,1,ENERGY,,1080,0,0.3,0.5,1,,,,,1000000,,,,,,,"FIRE_WHEN_INEFFICIENT, DO_NOT_CONSERVE","beam8, energy8, SR, ixbattlegroup",,IX Battlegroup,,General,,,,,"Hits on hull or armor arc to weapons and engines, dealing %s energy and %s EMP extra damage.",50% | 100%,,,,19.3
Muon Siege Lance,muon_siege_lance_ix,3,0.25,10000,700,2000,,1000,0,10,28,2,0.1562,1,ENERGY,,2180,0,0.3,1.1,3.4,,,,,1000000,,,,,,,"FIRE_WHEN_INEFFICIENT, DO_NOT_CONSERVE","energy20, beam15, LR, ixbattlegroup",,IX Battlegroup,,General,,,,,"Hits on hull or armor arc to weapons and engines twice, dealing %s energy and %s EMP total extra damage.",50% | 100%,,,,27.6
Orthrus DEM Torpedo Pod,orthrus_s_ix,1,0.5,750,1500,,800,,75,20,6,3,,,ENERGY,,,0,12,1,,,,,,,300,150,5.5,500,,,"STRIKE, USE_VS_FRIGATES, DIRECT_AIM, GUIDED_POOR, DO_NOT_CONSERVE","strike8, missile3, ixbattlegroup",,IX Battlegroup,,Torpedo,Medium,Poor,,,"The torpedo fires a plasma beam at the target prior to impact, dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.",800,,,TRUE,9.1
Orthrus DEM Torpedo Launcher,orthrus_m_ix,2,0.5,1800,1500,,800,,75,20,10,6,,,ENERGY,,,0,12,1,,,,,,,300,150,5.5,500,,,"STRIKE, USE_VS_FRIGATES, DIRECT_AIM, GUIDED_POOR, DO_NOT_CONSERVE","strike13, missile8, ixbattlegroup",,IX Battlegroup,,Torpedo,Medium,Poor,,,"The torpedo fires a plasma beam at the target prior to impact, dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.",800,,,TRUE,14.1
Orthrus DEM Salvo Launcher,orthrus_l_ix,3,0.5,7500,1500,,800,,75,20,26,20,,,ENERGY,,,0,9.75,2,0.25,,,,,,300,150,5.5,500,,,"STRIKE, USE_VS_FRIGATES, DIRECT_AIM, GUIDED_POOR, DO_NOT_CONSERVE","strike18, missile14, ixbattlegroup",,IX Battlegroup,,Torpedo,Medium,Poor,,,"The torpedo fires a plasma beam at the target prior to impact, dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.",800,,,TRUE,15.1
    Orthrus - Payload,orthrus_payload_ix,,,,500,800,,,,20,0,,,,ENERGY,,,0,0.33,0.9,3,,,,,1000000,,,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,12.2
    Orthrus Deco Laser,orthrus_deco_laser_ix,,,,1,1,,,,,,,,,ENERGY,,,0,0.1,,,,,,,1000000,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Photon Hammer,photon_hammer_ix,3,0.25,9000,1000,300,,,0,8,20,,,,KINETIC,,240,0,,,,,,,,50000,,,,,,,FIRE_WHEN_INEFFICIENT,"kinetic20, beam20, LR, ixbattlegroup",,IX Battlegroup,,Anti Shield,,,,,"Also acts as a triple %s, causing the illuminated ship to take %s extra shield damage from all sources. Bonus cannot exceed %s and weapon has poor armor penetration.",Diffraction Laser | 15% | 15%,,,,24.9
Plasma Dart,plasma_dart_ix,1,0.75,900,700,,50,,0,25,6,,,,ENERGY,50,,0,1.8,3,0.1,,,,,,500,500,5,50,,,"DIRECT_AIM, DO_NOT_AIM","energy7, ixbattlegroup, vice_seeker",,IX Battlegroup,,Suppression,,,,,"%s: Fires %s. Unlike typical energy pulse weapons, the plasma projectiles can be intercepted by point defenses.",Seeker | homing projectiles,,,,19.2
Soliton Burst Emitter,sbe_modular_ix,3,,200000,1000,2000,,,100,8,30,,,,KINETIC,,2400,0.1,0.2,0.9,6.8,,,,,1000000,,,,,,,,"beam20, kinetic20, LR, feedback_weapon, no_sell, no_dealer, no_drop_salvage, hide_in_codex",,IX Battlegroup,,Anti Shield,,,,,"Creates a space-time rift at the point of impact, dealing %s energy damage in a large radius.",1000,%s: Equipping more than one feedback weapon to a ship will cause each feedback weapon to periodically malfunction. A %s chance to misfire will cause this weapon to generate the rift at point blank range instead.,Heavy Feedback | 30%,,24.5
Spatial Charge Launcher,spatial_charge_launcher_ix,2,0.5,1000,1500,,300,300,0,15,6,,,,ENERGY,0,,0.5,4.5,1,,0,0,0,0,,400,400,4,300,,,"DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","utility5, missile5, ixbattlegroup",,IX Battlegroup,,Suppression,Very Slow,None,,,"Each Spatial Charge will emit an EMP arc when nearing the target, dealing %s energy and %s EMP damage per charge.",300 | 300,,,,16.3
Starfall MLRS Launcher,starfall_mlrs_ix,1,0.75,7000,1400,,50,150,5,25,22,600,,,KINETIC,30,,0,5,40,0.1,2,8,1,5,,500,250,3.5,60,,,DO_NOT_CONSERVE,"kinetic15, rocket15, ixbattlegroup",,IX Battlegroup,,Suppression,Fast,None,,,,,,,,16.3
Starfall Rocket Pod,starfall_rocket_ix,1,0.75,2000,1400,,50,150,5,30,11,240,,,KINETIC,30,,0,5.4,15,0.1,2,8,1,5,,500,250,3.5,60,,,DO_NOT_CONSERVE,"kinetic7, rocket7, ixbattlegroup",,IX Battlegroup,,Suppression,Fast,None,,,,,,,,14.2
Thundermark Ion Seeker,thundermark_ix,3,0.5,9000,800,,50,250,0,20,25,32,4,16,ENERGY,60,,0.4,1.57,8,0.1,,,,,,500,500,5,200,,,"DIRECT_AIM, DO_NOT_AIM","energy20, ixbattlegroup, vice_seeker",,IX Battlegroup,,Suppression,Fast,Good,,,"%s: Fires %s. Unlike typical energy pulse weapons, the charged projectiles can be intercepted by point defenses. Each strike has a chance to generate an %s arc that can pierce shields based on target's hard flux.",Seeker | homing projectiles | EMP,,,,23.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Standard Honor Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bereaver DEM Launcher,bereaver_dem_launcher_ix,3,0.25,9000,1800,,1500,,20,15,24,45,,,ENERGY,0,,0,11,3,0.5,0,0,0,0,,200,75,10,350,,,"DO_NOT_AIM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","missile24, damage_special, damage_soft_flux, ix_core_bp",,IX Honor Guard,,General,Slow,Good,,,"Launches %s missiles that each fire a sustained plasma beam at the target, dealing approximately %s energy damage over the course of %s seconds. This damage is affected by missile damage modifiers and not energy weapon ones.",3 | 1500 | 10,,,TRUE,24.9
Bereaver DEM Pod,bereaver_dem_pod_ix,3,0.25,4500,1800,,1500,,20,15,12,20,,,ENERGY,0,,0,14,2,0.5,0,0,0,0,,200,75,10,350,,,"DO_NOT_AIM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","missile12, damage_special, damage_soft_flux, ix_core_bp",,IX Honor Guard,,General,Slow,Good,,,"Launches %s missiles that each fire a sustained plasma beam at the target, dealing approximately %s energy damage over the course of %s seconds. This damage is affected by missile damage modifiers and not energy weapon ones.",2 | 1500 | 10,,,TRUE,14.9
    Bereaver - Payload,bereaver_payload_ix,3,,,1000,150,,,0,20,0,,,,ENERGY,0,,0.1,0.1,10,0.5,,,,,50000,,,,,,,SYSTEM,,,,,,,,,,,,,,,24.99
Conversion Lance,conversion_lance_ix,3,0.25,10000,1000,600,,,0,10,22,2,0.13333,1,HIGH_EXPLOSIVE,,1500,0.1,0.2,1.9,2.8,,,,,1000000,,,,,,,"FIRE_WHEN_INEFFICIENT, DO_NOT_CONSERVE","he20, beam15, LR, ix_core_bp",,IX Honor Guard,,Anti Armor,,,,,"Creates a large explosion at the point of impact, dealing %s additional damage in a %s damage high explosive burst to all targets in the area.",100% | 1200,,,,27.1
Stormlight Graser,stormlight_graser_ix,3,0.25,10000,600,1500,,,0,10,30,8,2.5,4,ENERGY,,900,0,0,0.2,0.04,,,,,1000000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam20, SR, ix_core_bp",,IX Honor Guard,,General,,,,,,,,,,23.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
